treatment,squaricle,date,sample name,ID,TA_SampleNames,TA_DateAnalyzed,TA_value1,TA_value2,comments
control,1,6/29/22,Csq1 29/06/22,C_Sq1_20220629,1_C_Sq1_20220629; 2_C_Sq1_20220629,5/22/23,2168.07263,2163.50923,
control,2,6/29/22,Csq2 29/06/22,C_Sq2_20220629,1_C_Sq2_20220629; 2_C_Sq2_20220629,5/22/23,2156.68728,2168.02315,
high,3,6/30/22,Hsq3 30/06/22,H_Sq3_20220630,1_H_Sq3_20220630; 2_H_Sq3_20220630,5/22/23,2186.41969,2185.49453,
medium,2,7/1/22,Msq2 1/Jul/22,M_Sq2_20220701,1_M_Sq2_20220701; 2_M_Sq2_20220701,5/22/23,2197.92152,2202.18458,
high,1,7/1/22,Hsq1 1/Jul/22,H_Sq1_20220701,1_H_Sq1_20220701; 2_H_Sq1_20220701,5/22/23,2188.89021,2186.51284,
control,2,7/5/22,Csq2 5/Jul/22,C_Sq2_20220705,1_C_Sq2_20220705; 2_C_Sq2_20220705,5/22/23,2188.13006,2188.18377,
high,1,7/5/22,Hsq1 5/Jul/22,H_Sq1_20220705,1_H_Sq1_20220705; 2_H_Sq1_20220705,5/22/23,2179.09413,2175.91957,
control,1,7/14/22,Csq1 14/Jul/22,C_Sq1_20220714,1_C_Sq1_20220714; 2_C_Sq1_20220714,5/22/23,2183.38267,2186.3034,
medium,1,7/14/22,Msq1 14/Jul/22,M_Sq1_20220714,1_M_Sq1_20220714; 2_M_Sq1_20220714,5/22/23,2179.11471,2179.85957,
high,2,7/14/22,Hsq2 14/Jul/22,H_Sq2_20220714,1_H_Sq2_20220714; 2_H_Sq2_20220714,5/22/23,2178.94412,2182.73636,
medium,1,7/16/22,Msq1 16/Jul/22,M_Sq1_20220716,1_M_Sq1_20220716; 2_M_Sq1_20220716,5/22/23,2176.1522,2179.82277,
control,2,6/28/22,Csq2 28/06/22,C_Sq2_20220628,1_C_Sq2_20220628; 2_C_Sq2_20220628,5/23/23,2166.92471,2171.44567,
medium,2,6/29/22,Msq2 29/06/22,M_Sq2_20220629,1_M_Sq2_20220629; 2_M_Sq2_20220629,5/23/23,2172.15107,2179.31923,
control,2,7/1/22,Csq2 1/Jul/22,C_Sq2_20220701,1_C_Sq2_20220701; 2_C_Sq2_20220701,5/23/23,2182.38608,2182.46375,
medium,3,7/1/22,Msq3 1/Jul/22,M_Sq3_20220701,1_M_Sq3_20220701; 2_M_Sq3_20220701,5/23/23,2178.77611,2187.59366,
control,3,7/2/22,Csq3 2/Jul/22,C_Sq3_20220702,1_C_Sq3_20220702; 2_C_Sq3_20220702,5/23/23,2180.96002,2180.88537,
medium,1,7/5/22,Msq1 5/Jul/22,M_Sq1_20220705,1_M_Sq1_20220705; 2_M_Sq1_20220705,5/23/23,2176.09361,2177.05976,
medium,2,7/6/22,Msq2 6/Jul/22,M_Sq2_20220706,1_M_Sq2_20220706; 2_M_Sq2_20220706,5/23/23,2178.83799,2187.48806,
medium,3,7/6/22,Msq3 6/Jul/22,M_Sq3_20220706,1_M_Sq3_20220706; 2_M_Sq3_20220706,5/23/23,2175.21035,2181.75687,
high,2,7/6/22,Hsq2 6/Jul/22,H_Sq2_20220706,1_H_Sq2_20220706; 2_H_Sq2_20220706,5/23/23,2184.97072,2184.76206,
control,1,7/8/22,Csq1 8/Jul/22,C_Sq1_20220708,1_C_Sq1_20220708; 2_C_Sq1_20220708,5/23/23,2182.38449,2181.27931,
control,1,7/10/22,Csq1 10/Jul/22,C_Sq1_20220710,1_C_Sq1_20220710; 2_C_Sq1_20220710,5/23/23,2177.16563,2184.41598,
medium,3,7/10/22,Msq3 10/Jul/22,M_Sq3_20220710,1_M_Sq3_20220710; 2_M_Sq3_20220710,5/23/23,2173.36116,2178.34321,
high,2,7/10/22,Hsq2 10/Jul/22,H_Sq2_20220710,1_H_Sq2_20220710; 2_H_Sq2_20220710,5/23/23,2180.69655,2185.66225,
control,1,7/16/22,Csq1 16/Jul/22,C_Sq1_20220716,1_C_Sq1_20220716; 2_C_Sq1_20220716,5/23/23,2173.91594,2179.78305,
high,3,7/16/22,Hsq3 16/Jul/22,H_Sq3_20220716,1_H_Sq3_20220716; 2_H_Sq3_20220716,5/23/23,2200.78753,2202.66236,
control,3,6/28/22,Csq3 28/06/22,C_Sq3_20220628,1_C_Sq3_20220628; 2_C_Sq3_20220628,5/25/23,2172.02342,2173.48166,
high,2,6/29/22,Hsq2 29/06/22,H_Sq2_20220629,1_H_Sq2_20220629; 2_H_Sq2_20220629,5/25/23,2173.86401,2185.20395,
high,3,6/29/22,Hsq3 29/06/22,H_Sq3_20220629,1_H_Sq3_20220629; 2_H_Sq3_20220629,5/25/23,2168.71804,2175.6303,
control,3,6/30/22,Csq3 30/06/22,C_Sq3_20220630,1_C_Sq3_20220630; 2_C_Sq3_20220630,5/25/23,2175.7701,2183.08504,
high,2,6/30/22,Hsq2 30/06/22,H_Sq2_20220630,1_H_Sq2_20220630; 2_H_Sq2_20220630,5/25/23,2182.1212,2182.58977,
control,3,7/1/22,Csq3 1/Jul/22,C_Sq3_20220701,1_C_Sq3_20220701; 2_C_Sq3_20220701,5/25/23,2179.68888,2186.74065,
control,2,7/2/22,Csq2 2/Jul/22,C_Sq2_20220702,1_C_Sq2_20220702; 2_C_Sq2_20220702,5/25/23,2186.15413,2182.70824,
medium,3,7/2/22,Msq3 2/Jul/22,M_Sq3_20220702,1_M_Sq3_20220702; 2_M_Sq3_20220702,5/25/23,2182.93067,2182.9545,
control,3,7/5/22,Csq3 5/Jul/22,C_Sq3_20220705,1_C_Sq3_20220705; 2_C_Sq3_20220705,5/25/23,2172.00738,2178.63447,
medium,3,7/5/22,Msq3 5/Jul/22,M_Sq3_20220705,1_M_Sq3_20220705; 2_M_Sq3_20220705,5/25/23,2179.1755,2184.68938,
medium,1,7/6/22,Msq1 6/Jul/22,M_Sq1_20220706,1_M_Sq1_20220706; 2_M_Sq1_20220706,5/25/23,2180.96204,2178.60773,
control,2,7/8/22,Csq2 8/Jul/22,C_Sq2_20220708,1_C_Sq2_20220708; 2_C_Sq2_20220708,5/25/23,2176.20475,2176.8488,
medium,3,7/8/22,Msq3 8/Jul/22,M_Sq3_20220708,1_M_Sq3_20220708; 2_M_Sq3_20220708,5/25/23,2189.03131,1911.66872,TA value 2 is pretty off
control,3,7/16/22,Csq3 16/Jul/22,C_Sq3_20220716,1_C_Sq3_20220716; 2_C_Sq3_20220716,5/25/23,2173.73897,2175.93117,
medium,1,6/28/22,Msq1 28/06/22,M_Sq1_20220628,1_M_Sq1_20220628; 2_M_Sq1_20220628,5/30/23,2173.8277,2175.99789,
medium,3,6/28/22,Msq3 28/06/22,M_Sq3_20220628,1_M_Sq3_20220628; 2_M_Sq3_20220628,5/30/23,2171.0459,2171.90695,
medium,2,6/28/22,Msq2 28/06/22,M_Sq2_20220628,1_M_Sq2_20220628; 2_M_Sq2_20220628,5/30/23,2169.72433,2173.04332,
medium,1,6/30/22,Msq1 30/06/22,M_Sq1_20220630,1_M_Sq1_20220630; 2_M_Sq1_20220630,5/30/23,2177.90963,2177.86686,
medium,3,6/30/22,Msq3 30/06/22,M_Sq3_20220630,1_M_Sq3_20220630; 2_M_Sq3_20220630,5/30/23,2184.05238,2181.44475,
high,1,6/30/22,Hsq1 30/06/22,H_Sq1_20220630,1_H_Sq1_20220630; 2_H_Sq1_20220630,5/30/23,2176.48337,2180.67167,
high,3,7/2/22,Hsq3 2/Jul/22,H_Sq3_20220702,1_H_Sq3_20220702; 2_H_Sq3_20220702,5/30/23,2177.02381,2175.67807,
control,1,7/2/22,Csq1 2/Jul/22,C_Sq1_20220702,1_C_Sq1_20220702; 2_C_Sq1_20220702,5/30/23,2178.04217,2180.37876,
control,1,7/5/22,Csq1 5/Jul/22,C_Sq1_20220705,1_C_Sq1_20220705; 2_C_Sq1_20220705,5/30/23,2200.62464,2166.92388,
medium,2,7/5/22,Msq2 5/Jul/22,M_Sq2_20220705,1_M_Sq2_20220705; 2_M_Sq2_20220705,5/30/23,2171.77775,2181.17461,
high,3,7/5/22,Hsq3 5/Jul/22,H_Sq3_20220705,1_H_Sq3_20220705; 2_H_Sq3_20220705,5/30/23,2186.86584,2188.80894,
high,1,7/8/22,Hsq1 8/Jul/22,H_Sq1_20220708,1_H_Sq1_20220708; 2_H_Sq1_20220708,5/30/23,2183.57761,2182.87012,
high,3,7/8/22,Hsq3 8/Jul/22,H_Sq3_20220708,1_H_Sq3_20220708; 2_H_Sq3_20220708,5/30/23,2186.57995,2185.62769,
control,3,7/10/22,Csq3 10/Jul/22,C_Sq3_20220710,1_C_Sq3_20220710; 2_C_Sq3_20220710,5/30/23,2173.536,2179.64584,
medium,2,7/10/22,Msq2 10/Jul/22,M_Sq2_20220710,1_M_Sq2_20220710; 2_M_Sq2_20220710,5/30/23,2174.74302,2179.27577,
high,3,7/10/22,Hsq3 10/Jul/22,H_Sq3_20220710,1_H_Sq3_20220710; 2_H_Sq3_20220710,5/30/23,2178.70377,2187.85691,
control,1,7/12/22,Csq1 12/Jul/22,C_Sq1_20220712,1_C_Sq1_20220712; 2_C_Sq1_20220712,5/30/23,2178.66109,2188.41699,
medium,1,7/12/22,Msq1 12/Jul/22,M_Sq1_20220712,1_M_Sq1_20220712; 2_M_Sq1_20220712,5/30/23,2185.22131,2178.64393,
high,3,7/12/22,Hsq3 12/Jul/22,H_Sq3_20220712,1_H_Sq3_20220712; 2_H_Sq3_20220712,5/30/23,2207.63983,2207.68704,
medium,3,7/16/22,Msq3 16/Jul/22,M_Sq3_20220716,1_M_Sq3_20220716; 2_M_Sq3_20220716,5/30/23,2171.99555,2170.93024,
control,3,6/29/22,Csq3 29/06/22,C_Sq3_20220629,1_C_Sq3_20220629; 2_C_Sq3_20220629,,,,
medium,3,6/29/22,Msq3 29/06/22,M_Sq3_20220629,1_M_Sq3_20220629; 2_M_Sq3_20220629,,,,
high,1,6/29/22,Hsq1 29/06/22,H_Sq1_20220629,1_H_Sq1_20220629; 2_H_Sq1_20220629,,,,
control,2,6/30/22,Csq2 30/06/22,C_Sq2_20220630,1_C_Sq2_20220630; 2_C_Sq2_20220630,,,,
medium,2,6/30/22,Msq2 30/06/22,M_Sq2_20220630,1_M_Sq2_20220630; 2_M_Sq2_20220630,,,,
high,3,7/1/22,Hsq3 1/Jul/22,H_Sq3_20220701,1_H_Sq3_20220701; 2_H_Sq3_20220701,,,,
medium,1,7/2/22,Msq1 2/Jul/22,M_Sq1_20220702,1_M_Sq1_20220702; 2_M_Sq1_20220702,,,,
medium,2,7/2/22,Msq2 2/Jul/22,M_Sq2_20220702,1_M_Sq2_20220702; 2_M_Sq2_20220702,,,,
high,1,7/2/22,Hsq1 2/Jul/22,H_Sq1_20220702,1_H_Sq1_20220702; 2_H_Sq1_20220702,,,,
high,2,7/5/22,Hsq2 5/Jul/22,H_Sq2_20220705,1_H_Sq2_20220705; 2_H_Sq2_20220705,,,,
control,2,7/6/22,Csq2 6/Jul/22,C_Sq2_20220706,1_C_Sq2_20220706; 2_C_Sq2_20220706,,,,
control,3,7/6/22,Csq3 6/Jul/22,C_Sq3_20220706,1_C_Sq3_20220706; 2_C_Sq3_20220706,,,,
high,1,7/6/22,Hsq1 6/Jul/22,H_Sq1_20220706,1_H_Sq1_20220706; 2_H_Sq1_20220706,,,,
high,3,7/6/22,Hsq3 6/Jul/22,H_Sq3_20220706,1_H_Sq3_20220706; 2_H_Sq3_20220706,,,,
control,3,7/8/22,Csq3 8/Jul/22,C_Sq3_20220708,1_C_Sq3_20220708; 2_C_Sq3_20220708,,,,
medium,1,7/8/22,Msq1 8/Jul/22,M_Sq1_20220708,1_M_Sq1_20220708; 2_M_Sq1_20220708,,,,
medium,2,7/8/22,Msq2 8/Jul/22,M_Sq2_20220708,1_M_Sq2_20220708; 2_M_Sq2_20220708,,,,
control,2,7/10/22,Csq2 10/Jul/22,C_Sq2_20220710,1_C_Sq2_20220710; 2_C_Sq2_20220710,,,,
medium,1,7/10/22,Msq1 10/Jul/22,M_Sq1_20220710,1_M_Sq1_20220710; 2_M_Sq1_20220710,,,,
high,1,7/10/22,Hsq1 10/Jul/22,H_Sq1_20220710,1_H_Sq1_20220710; 2_H_Sq1_20220710,,,,
control,2,7/12/22,Csq2 12/Jul/22,C_Sq2_20220712,1_C_Sq2_20220712; 2_C_Sq2_20220712,,,,
control,3,7/12/22,Csq3 12/Jul/22,C_Sq3_20220712,1_C_Sq3_20220712; 2_C_Sq3_20220712,,,,
medium,2,7/12/22,Msq2 12/Jul/22,M_Sq2_20220712,1_M_Sq2_20220712; 2_M_Sq2_20220712,,,,
high,1,7/12/22,Hsq1 12/Jul/22,H_Sq1_20220712,1_H_Sq1_20220712; 2_H_Sq1_20220712,,,,
control,2,7/14/22,Csq2 14/Jul/22,C_Sq2_20220714,1_C_Sq2_20220714; 2_C_Sq2_20220714,,,,
control,3,7/14/22,Csq3 14/Jul/22,C_Sq3_20220714,1_C_Sq3_20220714; 2_C_Sq3_20220714,,,,
medium,3,7/14/22,Msq3 14/Jul/22,M_Sq3_20220714,1_M_Sq3_20220714; 2_M_Sq3_20220714,,,,
high,1,7/14/22,Hsq1 14/Jul/22,H_Sq1_20220714,1_H_Sq1_20220714; 2_H_Sq1_20220714,,,,
high,3,7/14/22,Hsq3 14/Jul/22,H_Sq3_20220714,1_H_Sq3_20220714; 2_H_Sq3_20220714,,,,
medium,2,7/16/22,Msq2 16/Jul/22,M_Sq2_20220716,1_M_Sq2_20220716; 2_M_Sq2_20220716,,,,
high,1,7/16/22,Hsq1 16/Jul/22,H_Sq1_20220716,1_H_Sq1_20220716; 2_H_Sq1_20220716,,,,
