"","GOterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"14754","GO:0070262",0.00969952448305153,0.999683869760478,2,5,"peptidyl-serine dephosphorylation","BP"
"4485","GO:0010032",0.00975115561202436,0.999162333270388,3,11,"meiotic chromosome condensation","BP"
"1117","GO:0002756",0.0098777638397876,0.999103157569082,3,14,"MyD88-independent toll-like receptor signaling pathway","BP"
"1285","GO:0003175",0.00988113021904542,0.99967479681018,2,5,"tricuspid valve development","BP"
"3083","GO:0006760",0.00998417508731248,0.998552989238679,4,26,"folic acid-containing compound metabolic process","BP"
"503","GO:0001569",0.0101282656771863,0.998525946200168,4,26,"branching involved in blood vessel morphogenesis","BP"
"370","GO:0000987",0.0102015290181468,0.995709661131546,14,205,"cis-regulatory region sequence-specific DNA binding","MF"
"10273","GO:0042762",0.0103750718863429,0.999040754897687,3,14,"regulation of sulfur metabolic process","BP"
"1563","GO:0003988",0.0104866372161645,0.999643902570361,2,5,"acetyl-CoA C-acyltransferase activity","MF"
"19735","GO:2000241",0.0106135160991593,0.995091196417124,17,261,"regulation of reproductive process","BP"
"1028","GO:0002568",0.0106983867068279,0.99968278119563,2,4,"somatic diversification of T cell receptor genes","BP"
"1069","GO:0002681",0.0106983867068279,0.99968278119563,2,4,"somatic recombination of T cell receptor gene segments","BP"
"8367","GO:0033153",0.0106983867068279,0.99968278119563,2,4,"T cell receptor V(D)J recombination","BP"
"9764","GO:0036514",0.011028269205566,0.999615444001372,2,5,"dopaminergic neuron axon guidance","BP"
"18950","GO:1904938",0.011028269205566,0.999615444001372,2,5,"planar cell polarity pathway involved in axon guidance","BP"
"15278","GO:0071356",0.0110611419967513,0.997003026550081,7,70,"cellular response to tumor necrosis factor","BP"
"9904","GO:0042006",0.0115830020972433,0.999585509100453,2,5,"masculinization of hermaphroditic germ-line","BP"
"4519","GO:0010216",0.0119617587439913,0.999623722654567,2,4,"negative regulation of gene expression via chromosomal DNA cytosine methylation","BP"
"19243","GO:1905767",0.012599416302785,0.99952864499194,2,5,"regulation of double-stranded telomeric DNA binding","BP"
"19244","GO:1905768",0.012599416302785,0.99952864499194,2,5,"negative regulation of double-stranded telomeric DNA binding","BP"
"478","GO:0001525",0.0126845711428401,0.994938382286848,12,165,"angiogenesis","BP"
"14225","GO:0061035",0.012801670756724,0.997379983095105,5,43,"regulation of cartilage development","BP"
"17595","GO:1901570",0.0129540565604065,0.995980568124137,8,91,"fatty acid derivative biosynthetic process","BP"
"10886","GO:0044281",0.0130778598697298,0.991034305473901,63,1418,"small molecule metabolic process","BP"
"14332","GO:0061298",0.0131194137406664,0.999498569197265,2,5,"retina vasculature development in camera-type eye","BP"
"10255","GO:0042737",0.0134283941181137,0.995801320002665,8,94,NA,NA
"2181","GO:0005164",0.0134976708242966,0.99784673786506,4,28,"tumor necrosis factor receptor binding","MF"
"3465","GO:0007366",0.013525745383193,0.9994296152559,2,6,"periodic partitioning by pair rule gene","BP"
"11522","GO:0045893",0.0136966899660744,0.991331306530152,42,850,"positive regulation of DNA-templated transcription","BP"
"5421","GO:0016054",0.013876520010074,0.994145876076022,13,200,"organic acid catabolic process","BP"
"11737","GO:0046395",0.013876520010074,0.994145876076022,13,200,"carboxylic acid catabolic process","BP"
"7894","GO:0032330",0.0140375704196692,0.997727165175448,4,29,"regulation of chondrocyte differentiation","BP"
"2467","GO:0005828",0.0141282771205853,0.998554502696157,3,13,"kinetochore microtubule","CC"
"4846","GO:0010911",0.0141626000680086,0.998512765916863,3,15,"regulation of isomerase activity","BP"
"4847","GO:0010912",0.0141626000680086,0.998512765916863,3,15,"positive regulation of isomerase activity","BP"
"8398","GO:0033209",0.0143330412166748,0.99766492901439,4,29,"tumor necrosis factor-mediated signaling pathway","BP"
"6231","GO:0019371",0.014473242181943,0.997628263854824,4,30,"cyclooxygenase pathway","BP"
"2549","GO:0005958",0.0150689022984325,0.999380099905262,2,5,"DNA-dependent protein kinase-DNA ligase 4 complex","CC"
"42","GO:0000096",0.0150936329494391,0.996771499912751,5,45,"sulfur amino acid metabolic process","BP"
"13054","GO:0051254",0.0151268192096519,0.990167354963375,46,954,"positive regulation of RNA metabolic process","BP"
"4113","GO:0009069",0.0152963697858962,0.996717139292621,5,45,"serine family amino acid metabolic process","BP"
"938","GO:0002328",0.0153301331707313,0.999363557857017,2,5,"pro-B cell differentiation","BP"
"13053","GO:0051253",0.0153893749846469,0.990292542218384,40,821,"negative regulation of RNA metabolic process","BP"
"2897","GO:0006520",0.0155071525372112,0.992510972072579,17,287,"amino acid metabolic process","BP"
"19006","GO:1905064",0.0155897955209839,0.999291184299972,2,6,"negative regulation of vascular associated smooth muscle cell differentiation","BP"
"10146","GO:0042541",0.0157222202174587,0.999281944350454,2,6,"hemoglobin biosynthetic process","BP"
"17593","GO:1901568",0.0158040079052672,0.994124715943141,10,130,"fatty acid derivative metabolic process","BP"
"5558","GO:0016321",0.0163343578513395,0.998210931011661,3,14,"female meiosis chromosome segregation","BP"
"1282","GO:0003171",0.0163345042065129,0.998172461062115,3,16,"atrioventricular valve development","BP"
"13094","GO:0051304",0.0163356742872882,0.99646992728978,5,39,"chromosome separation","BP"
"3035","GO:0006690",0.0164195010268485,0.994679240219774,8,93,"icosanoid metabolic process","BP"
"17598","GO:1901576",0.0164471502587721,0.987917831726391,92,2217,"organic substance biosynthetic process","BP"
"11461","GO:0045778",0.0166591653514554,0.99509029285247,7,76,"positive regulation of ossification","BP"
"823","GO:0002088",0.0167352743546106,0.995649760661046,6,59,"lens development in camera-type eye","BP"
"17606","GO:1901606",0.016774221557418,0.995033978533215,7,82,"alpha-amino acid catabolic process","BP"
"11561","GO:0045950",0.0170980968707722,0.999247606416327,2,5,"negative regulation of mitotic recombination","BP"
"2347","GO:0005641",0.0171957728596987,0.998079676063311,3,14,"nuclear envelope lumen","CC"
"2015","GO:0004796",0.0171960452293682,0.998021739249507,3,17,"thromboxane-A synthase activity","MF"
"9621","GO:0036134",0.0171960452293682,0.998021739249507,3,17,"12-hydroxyheptadecatrienoic acid synthase activity","MF"
"17503","GO:1901255",0.0174238677911849,0.999159495718274,2,6,"nucleotide-excision repair involved in interstrand cross-link repair","BP"
"364","GO:0000978",0.0176363797578835,0.992323747530884,13,198,"RNA polymerase II cis-regulatory region sequence-specific DNA binding","MF"
"565","GO:0001708",0.0177453587480635,0.992904984483149,11,155,"cell fate specification","BP"
"19001","GO:1905050",0.0180341835866897,0.999065985563673,2,7,"positive regulation of metallopeptidase activity","BP"
"9989","GO:0042219",0.0182297944391696,0.997826013726939,3,19,"cellular modified amino acid catabolic process","BP"
"4438","GO:0009893",0.0185138152769562,0.98646990708579,85,1965,"positive regulation of metabolic process","BP"
"1440","GO:0003682",0.018581453365313,0.99010807173482,21,350,"chromatin binding","MF"
"8213","GO:0032877",0.0186734072498457,0.999065297956221,2,6,"positive regulation of DNA endoreduplication","BP"
"1990","GO:0004754",0.0186777308304666,0.999014411616733,2,7,"saccharopine dehydrogenase (NAD+, L-lysine-forming) activity","MF"
"16226","GO:0090308",0.0187483134288971,0.999059538537592,2,6,"regulation of DNA methylation-dependent heterochromatin formation","BP"
"1435","GO:0003676",0.0188352400425598,0.986940503788248,60,1340,"nucleic acid binding","MF"
"2930","GO:0006555",0.018863223223732,0.996636291927733,4,32,"methionine metabolic process","BP"
"14336","GO:0061303",0.0189817340372751,0.998989707764708,2,7,"cornea development in camera-type eye","BP"
"2757","GO:0006302",0.0190536867596344,0.991957371153441,12,165,"double-strand break repair","BP"
"6933","GO:0030278",0.0191967246254021,0.992639121544715,10,132,"regulation of ossification","BP"
"2951","GO:0006577",0.0192453176866778,0.99767262605043,3,18,"amino-acid betaine metabolic process","BP"
"11550","GO:0045935",0.0193527712185171,0.98700446567628,50,1069,"positive regulation of nucleobase-containing compound metabolic process","BP"
"472","GO:0001516",0.0195333655002136,0.996471641807168,4,33,"prostaglandin biosynthetic process","BP"
"11755","GO:0046457",0.0195333655002136,0.996471641807168,4,33,"prostanoid biosynthetic process","BP"
"12976","GO:0051131",0.0200939122051409,0.998897492903941,2,7,"chaperone-mediated protein complex assembly","BP"
"18332","GO:1903507",0.0201248442297129,0.98729626018155,37,761,"negative regulation of nucleic acid-templated transcription","BP"
"4636","GO:0010604",0.0202711453649042,0.985243943425155,80,1839,"positive regulation of macromolecule metabolic process","BP"
"17985","GO:1902679",0.0204950591322397,0.987045204983455,37,762,"negative regulation of RNA biosynthetic process","BP"
"18858","GO:1904743",0.0206303198991231,0.998910750614631,2,6,"negative regulation of telomeric DNA binding","BP"
"548","GO:0001676",0.0210101325012086,0.992861610849678,8,99,"long-chain fatty acid metabolic process","BP"
"11404","GO:0045667",0.0217135045576828,0.993236721038115,7,80,"regulation of osteoblast differentiation","BP"
"7433","GO:0031328",0.0217887429924802,0.985150061342336,52,1128,"positive regulation of cellular biosynthetic process","BP"
"8366","GO:0033152",0.021952841668808,0.998801597304866,2,6,"immunoglobulin V(D)J recombination","BP"
"15165","GO:0071103",0.0220276145888157,0.990138039354763,13,185,"DNA conformation change","BP"
"2421","GO:0005759",0.0220488793919387,0.988662880124208,18,337,"mitochondrial matrix","CC"
"11039","GO:0044752",0.0221364992887191,0.998720790771266,2,7,"response to human chorionic gonadotropin","BP"
"11406","GO:0045669",0.0221676286369951,0.995849066336895,4,32,"positive regulation of osteoblast differentiation","BP"
"4111","GO:0009067",0.0224779481832383,0.995763243261614,4,33,"aspartate family amino acid biosynthetic process","BP"
"11379","GO:0045637",0.0228956537921764,0.990487961992028,11,157,"regulation of myeloid cell differentiation","BP"
"4102","GO:0009058",0.0230500134509461,0.982801111529678,92,2248,"biosynthetic process","BP"
"51","GO:0000110",0.0231266625404276,0.998631799490129,2,7,"nucleotide-excision repair factor 1 complex","CC"
"4112","GO:0009068",0.0232118192663523,0.996965966367795,3,19,"aspartate family amino acid catabolic process","BP"
"6658","GO:0021984",0.0233736085515743,0.996956422186188,3,18,"adenohypophysis development","BP"
"13703","GO:0060143",0.023496298926399,0.998598031621024,2,7,"positive regulation of syncytium formation by plasma membrane fusion","BP"
"4653","GO:0010628",0.0234978591446798,0.983853417677752,53,1164,"positive regulation of gene expression","BP"
"19322","GO:1905936",0.0236763169911477,0.998581479525158,2,7,"regulation of germ cell proliferation","BP"
"13097","GO:0051307",0.0237746389728001,0.995488497287519,4,29,"meiotic chromosome separation","BP"
"9498","GO:0035886",0.0238765640696636,0.998562985685505,2,7,"vascular associated smooth muscle cell differentiation","BP"
"14553","GO:0061819",0.0241310312769239,0.998539360551104,2,7,"telomeric DNA-containing double minutes formation","BP"
"14885","GO:0070522",0.0241310312769239,0.998539360551104,2,7,"ERCC4-ERCC1 complex","CC"
"19241","GO:1905764",0.0241310312769239,0.998539360551104,2,7,"regulation of protection from non-homologous end joining at telomere","BP"
"19242","GO:1905765",0.0241310312769239,0.998539360551104,2,7,"negative regulation of protection from non-homologous end joining at telomere","BP"
"1963","GO:0004722",0.02447009618931,0.994049367054863,5,49,"protein serine/threonine phosphatase activity","MF"
"254","GO:0000724",0.0244883085215664,0.991458624775526,8,93,"double-strand break repair via homologous recombination","BP"
"255","GO:0000725",0.0244883085215664,0.991458624775526,8,93,"recombinational repair","BP"
"299","GO:0000800",0.0248227728028189,0.99855215604813,2,6,"lateral element","CC"
"13000","GO:0051173",0.0248555290396376,0.981882936288361,75,1730,"positive regulation of nitrogen compound metabolic process","BP"
"443","GO:0001206",0.025443594019527,0.998311312595966,2,9,NA,NA
"7430","GO:0031325",0.0257448598133137,0.981097673020706,78,1812,"positive regulation of cellular metabolic process","BP"
"17222","GO:1900015",0.0261177137286147,0.998288849755142,2,8,"regulation of cytokine production involved in inflammatory response","BP"
"11005","GO:0044572",0.0262010025152319,1,1,1,"[4Fe-4S] cluster assembly","BP"
"4955","GO:0014054",0.0264471566964019,1,1,1,"positive regulation of gamma-aminobutyric acid secretion","BP"
"1589","GO:0004029",0.0265918444293572,0.998240803266373,2,8,"aldehyde dehydrogenase (NAD+) activity","MF"
"6597","GO:0021854",0.0266245730284984,0.996292050456929,3,21,"hypothalamus development","BP"
"18857","GO:1904742",0.026874170534548,0.998276033563977,2,7,"regulation of telomeric DNA binding","BP"
"975","GO:0002432",0.0270674776609096,1,1,1,"granuloma formation","BP"
"9418","GO:0035711",0.0270674776609096,1,1,1,"T-helper 1 cell activation","BP"
"9743","GO:0036488",0.0270674776609096,1,1,1,"CHOP-C/EBP complex","CC"
"2992","GO:0006635",0.0271705560706245,0.993195652196957,5,51,"fatty acid beta-oxidation","BP"
"6210","GO:0019310",0.0273956020855889,1,1,1,"inositol catabolic process","BP"
"12622","GO:0050113",0.0273956020855889,1,1,1,"inositol oxygenase activity","MF"
"11386","GO:0045648",0.0274101115711357,0.996181137900739,3,19,"positive regulation of erythrocyte differentiation","BP"
"252","GO:0000722",0.0274631576391406,0.996195353179129,3,18,"telomere maintenance via recombination","BP"
"10869","GO:0044249",0.0275329132807069,0.979364097516258,89,2184,"cellular biosynthetic process","BP"
"8167","GO:0032787",0.0276500155633459,0.984647419207809,21,394,"monocarboxylic acid metabolic process","BP"
"18333","GO:1903508",0.0276773606072544,0.98161906330115,42,890,"positive regulation of nucleic acid-templated transcription","BP"
"10592","GO:0043392",0.0277555648066341,0.994431957933721,4,32,"negative regulation of DNA binding","BP"
"14707","GO:0070169",0.0277851793291484,0.993008201642693,5,50,"positive regulation of biomineral tissue development","BP"
"19744","GO:2000256",0.027849375740319,1,1,1,"positive regulation of male germ cell proliferation","BP"
"14719","GO:0070192",0.0278527638160597,0.990884586522798,7,77,"chromosome organization involved in meiotic cell cycle","BP"
"4436","GO:0009891",0.0280021175883577,0.98061256781482,52,1147,"positive regulation of biosynthetic process","BP"
"17986","GO:1902680",0.028104317345478,0.981315165958979,42,891,"positive regulation of RNA biosynthetic process","BP"
"12352","GO:0048514",0.0281574566829027,0.986510001151562,14,226,"blood vessel morphogenesis","BP"
"20200","GO:2001287",0.0286307575479803,1,1,1,"negative regulation of caveolin-mediated endocytosis","BP"
"16546","GO:0097355",0.0287757012430826,1,1,1,"protein localization to heterochromatin","BP"
"3704","GO:0008073",0.0288375189533823,1,1,1,"ornithine decarboxylase inhibitor activity","MF"
"10344","GO:0042979",0.0288375189533823,1,1,1,"ornithine decarboxylase regulator activity","MF"
"17848","GO:1902267",0.0288375189533823,1,1,1,"regulation of polyamine transmembrane transport","BP"
"17849","GO:1902268",0.0288375189533823,1,1,1,"negative regulation of polyamine transmembrane transport","BP"
"13808","GO:0060315",0.0288663079579686,0.99794927649085,2,9,"negative regulation of ryanodine-sensitive calcium-release channel activity","BP"
"4611","GO:0010558",0.0289170734338601,0.980642415126195,43,927,"negative regulation of macromolecule biosynthetic process","BP"
"16842","GO:0098813",0.0289318788593989,0.986540371629502,13,193,"nuclear chromosome segregation","BP"
"9171","GO:0035259",0.029046449687623,0.997984509197219,2,8,"nuclear glucocorticoid receptor binding","MF"
"276","GO:0000775",0.029051503423225,0.988754892992772,9,116,"chromosome, centromeric region","CC"
"1489","GO:0003858",0.0291842778573872,1,1,1,"3-hydroxybutyrate dehydrogenase activity","MF"
