"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat"
"48","RVT_2",0.0248988174364495,0.99865694423592,2,5
"49","SAM_PNT",0.0273031953675456,0.998231193173101,2,7
"50","DUF971",0.0277815237197479,0.998183207626939,2,7
"51","DM",0.0279224572097388,0.998168980991263,2,7
"52","PAX",0.0280574504299588,0.998155316448721,2,7
"53","DNA_photolyase",0.0287179963465924,0.99818494500706,2,6
"54","VHP",0.0289724543634606,0.998160055910726,2,6
"55","EPTP",0.0301068882675182,0.998047606178989,2,6
"56","TRAF_BIRC3_bd",0.0312664922428638,0.995438010659464,3,18
"57","ATG_C",0.0319269858055687,0.99829047286486,2,4
"58","IgGFc_binding",0.0323682474958267,0.997816306378751,2,6
"59","bZIP_2",0.034509937486279,0.997366912159736,2,8
"60","Glutaredoxin",0.0348502791756992,0.997326662624877,2,8
"61","ShK",0.0354037148853147,0.990514158300586,5,47
"62","SMC_hinge",0.0354669440104225,0.997678402013505,2,5
"63","Anemone_cytotox",0.0371409358177262,1,1,1
"64","Ribosomal_L27",0.0372565133356399,1,1,1
"65","YscW",0.0372565133356399,1,1,1
"66","MIOX",0.0373250432016523,1,1,1
"67","DUF1619",0.0374228633575626,1,1,1
"68","UPF0172",0.0375849864339914,1,1,1
"69","Orai-1",0.0376928350589714,1,1,1
"70","ODC_AZ",0.0378191089632099,1,1,1
"71","BAH",0.037893839921739,0.997212427623421,2,6
"72","DUF2870",0.03819939798146,1,1,1
"73","LIX1",0.0382239674997621,1,1,1
"74","Ubiq_cyt_C_chap",0.0382361658316034,1,1,1
"75","Tis11B_N",0.0382603876927333,1,1,1
"76","ATP11",0.0382843738866577,1,1,1
"77","SpoIIE",0.0382962776345209,1,1,1
"78","Tmemb_185A",0.0384998930508506,1,1,1
"79","Glyco_hydro_99",0.0390264466263797,1,1,1
"80","Strabismus",0.0391067921657574,1,1,1
"81","ILVD_EDD",0.0392614673617942,1,1,1
"82","Glyco_tranf_2_4",0.03929496688962,1,1,1
"83","Glyco_transf_25",0.03929496688962,1,1,1
"84","IRF-2BP1_2",0.0393328336019533,1,1,1
"85","Seipin",0.0394186125631637,1,1,1
"86","CNDH2_C",0.0394418691812859,1,1,1
"87","CNDH2_M",0.0394418691812859,1,1,1
"88","CNDH2_N",0.0394418691812859,1,1,1
"89","WIF",0.0394418691812859,1,1,1
"90","Succ_DH_flav_C",0.0395714950314936,1,1,1
"91","LepA_C",0.0397219697991285,1,1,1
"92","BDHCT",0.0397565953109738,1,1,1
"93","BDHCT_assoc",0.0397565953109738,1,1,1
"94","BLM_N",0.0397565953109738,1,1,1
"95","VKG_Carbox",0.0400669082584671,1,1,1
"96","Astacin",0.0403574517115397,0.987093526241534,6,63
"97","DUF504",0.0404614474622912,1,1,1
"98","TTD",0.0407379045268602,1,1,1
"99","CAF-1_p150",0.0418492111641636,1,1,1
"100","CAF1-p150_C2",0.0418492111641636,1,1,1
"101","CAF1-p150_N",0.0418492111641636,1,1,1
"102","CAF1A",0.0418492111641636,1,1,1
"103","Mucin2_WxxW",0.0419827022772233,1,1,1
"104","VGCC_alpha2",0.0423624828481818,0.99668551653781,2,6
"105","Zn_ribbon_SprT",0.0427221799526076,1,1,1
"106","VPS13",0.0430352830077661,0.996863735778262,2,5
"107","VPS13_mid_rpt",0.0430352830077661,0.996863735778262,2,5
"108","DNA_ligase_IV",0.0438439461028229,1,1,1
"109","SPO22",0.0441420275794385,1,1,1
"110","Sacchrp_dh_C",0.0445231936053646,1,1,1
"111","Daxx",0.0455716107964597,1,1,1
"112","ResIII",0.0468933636170034,0.995913608345386,2,7
"113","PQQ",0.0471102515529518,1,1,1
"114","Uso1_p115_C",0.047374303826333,1,1,1
"115","Uso1_p115_head",0.047374303826333,1,1,1
