"","X","gene_id","GOs","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term.x","ontology","bh_adjust","A","B","C","D","E","F","G","H","L","M","N","term.y","GOSlim_bin","aspect","log_over_represented_pvalue"
"21",1843,"Pocillopora_acuta_HIv2___RNAseq.g22884.t1","GO:0006366",0.00484753232030514,0.997562826401035,25,427,"transcription by RNA polymerase II","BP",1,2745,274,88,176,159,263,385,117,6231,179,2542,"transcription from RNA polymerase II promoter","RNA metabolism","P",2.31447928663639
"22",1284,"Pocillopora_acuta_HIv2___TS.g23786.t1","GO:0045944",0.00376890119881292,0.997895288651029,36,651,"positive regulation of transcription by RNA polymerase II","BP",0.98901841069109,936,552,111,128,133,421,214,164,2395,240,2400,"positive regulation of transcription from RNA polymerase II promoter","RNA metabolism","P",2.42378524736673
"23",1872,"Pocillopora_acuta_HIv2___RNAseq.g22884.t1","GO:0045944",0.00376890119881292,0.997895288651029,36,651,"positive regulation of transcription by RNA polymerase II","BP",0.98901841069109,2745,274,88,176,159,263,385,117,6231,179,2542,"positive regulation of transcription from RNA polymerase II promoter","RNA metabolism","P",2.42378524736673
"24",1855,"Pocillopora_acuta_HIv2___RNAseq.g22884.t1","GO:0030578",0.00521028880239679,0.999924680071172,2,3,"PML body organization","BP",1,2745,274,88,176,159,263,385,117,6231,179,2542,"PML body organization","cell organization and biogenesis","P",2.28313820341619
"25",1854,"Pocillopora_acuta_HIv2___RNAseq.g22884.t1","GO:0021983",0.0474695388575248,0.988543418174174,4,41,"pituitary gland development","BP",1,2745,274,88,176,159,263,385,117,6231,179,2542,"pituitary gland development","developmental processes","P",1.3235849872116
"26",1849,"Pocillopora_acuta_HIv2___RNAseq.g22884.t1","GO:0009952",0.040709597000176,0.978441879794745,16,281,"anterior/posterior pattern specification","BP",1,2745,274,88,176,159,263,385,117,6231,179,2542,"anterior/posterior pattern formation","developmental processes","P",1.390303196846
"27",1844,"Pocillopora_acuta_HIv2___RNAseq.g22884.t1","GO:0007429",0.031695784714427,1,1,1,"secondary branching, open tracheal system","BP",1,2745,274,88,176,159,263,385,117,6231,179,2542,"secondary branching, open tracheal system","developmental processes","P",1.49899849163055
"28",1285,"Pocillopora_acuta_HIv2___TS.g23786.t1","GO:0048514",0.0281574566829027,0.986510001151562,14,226,"blood vessel morphogenesis","BP",1,936,552,111,128,133,421,214,164,2395,240,2400,"blood vessel morphogenesis","developmental processes","P",1.55040657532764
"29",1873,"Pocillopora_acuta_HIv2___RNAseq.g22884.t1","GO:0048514",0.0281574566829027,0.986510001151562,14,226,"blood vessel morphogenesis","BP",1,2745,274,88,176,159,263,385,117,6231,179,2542,"blood vessel morphogenesis","developmental processes","P",1.55040657532764
"30",1867,"Pocillopora_acuta_HIv2___RNAseq.g22884.t1","GO:0045648",0.0274101115711357,0.996181137900739,3,19,"positive regulation of erythrocyte differentiation","BP",1,2745,274,88,176,159,263,385,117,6231,179,2542,"positive regulation of erythrocyte differentiation","developmental processes","P",1.56208919668852
"31",1853,"Pocillopora_acuta_HIv2___RNAseq.g22884.t1","GO:0021854",0.0266245730284984,0.996292050456929,3,21,"hypothalamus development","BP",1,2745,274,88,176,159,263,385,117,6231,179,2542,"hypothalamus development","developmental processes","P",1.57471734816744
"32",1865,"Pocillopora_acuta_HIv2___RNAseq.g22884.t1","GO:0045637",0.0228956537921764,0.990487961992028,11,157,"regulation of myeloid cell differentiation","BP",1,2745,274,88,176,159,263,385,117,6231,179,2542,"regulation of myeloid cell differentiation","developmental processes","P",1.64024695055164
"33",1258,"Pocillopora_acuta_HIv2___TS.g23786.t1","GO:0001525",0.0126845711428401,0.994938382286848,12,165,"angiogenesis","BP",1,936,552,111,128,133,421,214,164,2395,240,2400,"angiogenesis","developmental processes","P",1.89672421141005
"34",1834,"Pocillopora_acuta_HIv2___RNAseq.g22884.t1","GO:0001525",0.0126845711428401,0.994938382286848,12,165,"angiogenesis","BP",1,2745,274,88,176,159,263,385,117,6231,179,2542,"angiogenesis","developmental processes","P",1.89672421141005
"35",1835,"Pocillopora_acuta_HIv2___RNAseq.g22884.t1","GO:0001569",0.0101282656771863,0.998525946200168,4,26,"branching involved in blood vessel morphogenesis","BP",1,2745,274,88,176,159,263,385,117,6231,179,2542,"patterning of blood vessels","developmental processes","P",1.99446491508515
"36",1866,"Pocillopora_acuta_HIv2___RNAseq.g22884.t1","GO:0045646",0.00877574126792337,0.998381702680763,5,37,"regulation of erythrocyte differentiation","BP",1,2745,274,88,176,159,263,385,117,6231,179,2542,"regulation of erythrocyte differentiation","developmental processes","P",2.05671618939524
"37",1263,"Pocillopora_acuta_HIv2___TS.g23786.t1","GO:0005739",0.00360142158619714,0.997792645317676,51,1074,"mitochondrion","CC",0.957504270667097,936,552,111,128,133,421,214,164,2395,240,2400,"mitochondrion","mitochondrion","C",2.44352603668422
"38",2384,"Pocillopora_acuta_HIv2___RNAseq.3335_t","GO:0005739",0.00360142158619714,0.997792645317676,51,1074,"mitochondrion","CC",0.957504270667097,2892,577,2002,938,263,427,1875,117,13222,317,4773,"mitochondrion","mitochondrion","C",2.44352603668422
"39",1259,"Pocillopora_acuta_HIv2___TS.g23786.t1","GO:0003676",0.0188352400425598,0.986940503788248,60,1340,"nucleic acid binding","MF",1,936,552,111,128,133,421,214,164,2395,240,2400,"nucleic acid binding","nucleic acid binding activity","F",1.72502884063221
"40",1836,"Pocillopora_acuta_HIv2___RNAseq.g22884.t1","GO:0003676",0.0188352400425598,0.986940503788248,60,1340,"nucleic acid binding","MF",1,2745,274,88,176,159,263,385,117,6231,179,2542,"nucleic acid binding","nucleic acid binding activity","F",1.72502884063221
"41",1261,"Pocillopora_acuta_HIv2___TS.g23786.t1","GO:0003690",0.000100801516998954,0.999957397334561,31,441,"double-stranded DNA binding","MF",0.163954747079409,936,552,111,128,133,421,214,164,2395,240,2400,"double-stranded DNA binding","nucleic acid binding activity","F",3.99653293198457
"42",1838,"Pocillopora_acuta_HIv2___RNAseq.g22884.t1","GO:0003690",0.000100801516998954,0.999957397334561,31,441,"double-stranded DNA binding","MF",0.163954747079409,2745,274,88,176,159,263,385,117,6231,179,2542,"double-stranded DNA binding","nucleic acid binding activity","F",3.99653293198457
"43",1260,"Pocillopora_acuta_HIv2___TS.g23786.t1","GO:0003677",3.69379987118433e-05,0.999982014465965,49,780,"DNA binding","MF",0.142892995915142,936,552,111,128,133,421,214,164,2395,240,2400,"DNA binding","nucleic acid binding activity","F",4.43252663818511
"44",1837,"Pocillopora_acuta_HIv2___RNAseq.g22884.t1","GO:0003677",3.69379987118433e-05,0.999982014465965,49,780,"DNA binding","MF",0.142892995915142,2745,274,88,176,159,263,385,117,6231,179,2542,"DNA binding","nucleic acid binding activity","F",4.43252663818511
"45",1277,"Pocillopora_acuta_HIv2___TS.g23786.t1","GO:0043565",1.77493983419355e-05,0.999992976861272,33,442,"sequence-specific DNA binding","MF",0.142892995915142,936,552,111,128,133,421,214,164,2395,240,2400,"sequence-specific DNA binding","nucleic acid binding activity","F",4.75081636380359
"46",1861,"Pocillopora_acuta_HIv2___RNAseq.g22884.t1","GO:0043565",1.77493983419355e-05,0.999992976861272,33,442,"sequence-specific DNA binding","MF",0.142892995915142,2745,274,88,176,159,263,385,117,6231,179,2542,"sequence-specific DNA binding","nucleic acid binding activity","F",4.75081636380359
"47",1262,"Pocillopora_acuta_HIv2___TS.g23786.t1","GO:0003700",1.27484321092806e-05,0.999994753849523,37,509,"DNA-binding transcription factor activity","MF",0.142892995915142,936,552,111,128,133,421,214,164,2395,240,2400,"transcription factor activity","nucleic acid binding activity","F",4.89454322449736
"48",1839,"Pocillopora_acuta_HIv2___RNAseq.g22884.t1","GO:0003700",1.27484321092806e-05,0.999994753849523,37,509,"DNA-binding transcription factor activity","MF",0.142892995915142,2745,274,88,176,159,263,385,117,6231,179,2542,"transcription factor activity","nucleic acid binding activity","F",4.89454322449736
"49",1840,"Pocillopora_acuta_HIv2___RNAseq.g22884.t1","GO:0005667",0.00750653907533742,0.996848170010169,15,222,"transcription regulator complex","CC",1,2745,274,88,176,159,263,385,117,6231,179,2542,"transcription factor complex","nucleus","C",2.12456025033625
"50",2390,"Pocillopora_acuta_HIv2___RNAseq.3335_t","GO:0034612",0.0304781908668026,0.989798112727614,7,85,"response to tumor necrosis factor","BP",1,2892,577,2002,938,263,427,1875,117,13222,317,4773,"response to tumor necrosis factor","other biological processes","P",1.51601081554382
"51",2439,"Pocillopora_acuta_HIv2___TS.g26760.t1","GO:0010911",0.0141626000680086,0.998512765916863,3,15,"regulation of isomerase activity","BP",1,23962,2490,667,955,3259,2892,1940,4120,14424,3624,11643,"regulation of isomerase activity","other biological processes","P",1.84885700854387
"52",2440,"Pocillopora_acuta_HIv2___TS.g26760.t1","GO:0010912",0.0141626000680086,0.998512765916863,3,15,"positive regulation of isomerase activity","BP",1,23962,2490,667,955,3259,2892,1940,4120,14424,3624,11643,"positive regulation of isomerase activity","other biological processes","P",1.84885700854387
"53",1864,"Pocillopora_acuta_HIv2___RNAseq.g22884.t1","GO:0045165",0.00137370048398593,0.999354078868565,27,410,"cell fate commitment","BP",0.560634474356294,2745,274,88,176,159,263,385,117,6231,179,2542,"cell fate commitment","other biological processes","P",2.86210794874079
"54",2431,"Pocillopora_acuta_HIv2___TS.g26760.t1","GO:0005694",0.00643066325413936,0.996224919689089,38,695,"chromosome","CC",1,23962,2490,667,955,3259,2892,1940,4120,14424,3624,11643,"chromosome","other cellular component","C",2.1917442319346
"55",954,"Pocillopora_acuta_HIv2___RNAseq.g19477.t1","GO:0031327",0.0486258560941999,0.966052688347472,44,989,"negative regulation of cellular biosynthetic process","BP",1,2457,726,394,506,660,320,924,457,5990,429,2265,"negative regulation of cellular biosynthetic process","other metabolic processes","P",1.31313273952302
"56",1275,"Pocillopora_acuta_HIv2___TS.g23786.t1","GO:0031327",0.0486258560941999,0.966052688347472,44,989,"negative regulation of cellular biosynthetic process","BP",1,936,552,111,128,133,421,214,164,2395,240,2400,"negative regulation of cellular biosynthetic process","other metabolic processes","P",1.31313273952302
"57",1857,"Pocillopora_acuta_HIv2___RNAseq.g22884.t1","GO:0031327",0.0486258560941999,0.966052688347472,44,989,"negative regulation of cellular biosynthetic process","BP",1,2745,274,88,176,159,263,385,117,6231,179,2542,"negative regulation of cellular biosynthetic process","other metabolic processes","P",1.31313273952302
"58",952,"Pocillopora_acuta_HIv2___RNAseq.g19477.t1","GO:0009890",0.0484504088009299,0.966049808379643,45,1015,"negative regulation of biosynthetic process","BP",1,2457,726,394,506,660,320,924,457,5990,429,2265,"negative regulation of biosynthetic process","other metabolic processes","P",1.31470255423264
"59",1268,"Pocillopora_acuta_HIv2___TS.g23786.t1","GO:0009890",0.0484504088009299,0.966049808379643,45,1015,"negative regulation of biosynthetic process","BP",1,936,552,111,128,133,421,214,164,2395,240,2400,"negative regulation of biosynthetic process","other metabolic processes","P",1.31470255423264
"60",1846,"Pocillopora_acuta_HIv2___RNAseq.g22884.t1","GO:0009890",0.0484504088009299,0.966049808379643,45,1015,"negative regulation of biosynthetic process","BP",1,2745,274,88,176,159,263,385,117,6231,179,2542,"negative regulation of biosynthetic process","other metabolic processes","P",1.31470255423264
"61",2434,"Pocillopora_acuta_HIv2___TS.g26760.t1","GO:0007549",0.0363661952289898,0.992045184578635,4,33,"dosage compensation","BP",1,23962,2490,667,955,3259,2892,1940,4120,14424,3624,11643,"dosage compensation","other metabolic processes","P",1.43930213412514
"62",953,"Pocillopora_acuta_HIv2___RNAseq.g19477.t1","GO:0010558",0.0289170734338601,0.980642415126195,43,927,"negative regulation of macromolecule biosynthetic process","BP",1,2457,726,394,506,660,320,924,457,5990,429,2265,"negative regulation of macromolecule biosynthetic process","other metabolic processes","P",1.53884566213266
"63",1271,"Pocillopora_acuta_HIv2___TS.g23786.t1","GO:0010558",0.0289170734338601,0.980642415126195,43,927,"negative regulation of macromolecule biosynthetic process","BP",1,936,552,111,128,133,421,214,164,2395,240,2400,"negative regulation of macromolecule biosynthetic process","other metabolic processes","P",1.53884566213266
"64",1850,"Pocillopora_acuta_HIv2___RNAseq.g22884.t1","GO:0010558",0.0289170734338601,0.980642415126195,43,927,"negative regulation of macromolecule biosynthetic process","BP",1,2745,274,88,176,159,263,385,117,6231,179,2542,"negative regulation of macromolecule biosynthetic process","other metabolic processes","P",1.53884566213266
"65",1269,"Pocillopora_acuta_HIv2___TS.g23786.t1","GO:0009891",0.0280021175883577,0.98061256781482,52,1147,"positive regulation of biosynthetic process","BP",1,936,552,111,128,133,421,214,164,2395,240,2400,"positive regulation of biosynthetic process","other metabolic processes","P",1.55280912500905
"66",1847,"Pocillopora_acuta_HIv2___RNAseq.g22884.t1","GO:0009891",0.0280021175883577,0.98061256781482,52,1147,"positive regulation of biosynthetic process","BP",1,2745,274,88,176,159,263,385,117,6231,179,2542,"positive regulation of biosynthetic process","other metabolic processes","P",1.55280912500905
"67",2435,"Pocillopora_acuta_HIv2___TS.g26760.t1","GO:0009891",0.0280021175883577,0.98061256781482,52,1147,"positive regulation of biosynthetic process","BP",1,23962,2490,667,955,3259,2892,1940,4120,14424,3624,11643,"positive regulation of biosynthetic process","other metabolic processes","P",1.55280912500905
"68",1279,"Pocillopora_acuta_HIv2___TS.g23786.t1","GO:0044249",0.0275329132807069,0.979364097516258,89,2184,"cellular biosynthetic process","BP",1,936,552,111,128,133,421,214,164,2395,240,2400,"cellular biosynthetic process","other metabolic processes","P",1.560147833111
"69",1863,"Pocillopora_acuta_HIv2___RNAseq.g22884.t1","GO:0044249",0.0275329132807069,0.979364097516258,89,2184,"cellular biosynthetic process","BP",1,2745,274,88,176,159,263,385,117,6231,179,2542,"cellular biosynthetic process","other metabolic processes","P",1.560147833111
"70",1274,"Pocillopora_acuta_HIv2___TS.g23786.t1","GO:0031325",0.0257448598133137,0.981097673020706,78,1812,"positive regulation of cellular metabolic process","BP",1,936,552,111,128,133,421,214,164,2395,240,2400,"positive regulation of cellular metabolic process","other metabolic processes","P",1.58930946866371
"71",1856,"Pocillopora_acuta_HIv2___RNAseq.g22884.t1","GO:0031325",0.0257448598133137,0.981097673020706,78,1812,"positive regulation of cellular metabolic process","BP",1,2745,274,88,176,159,263,385,117,6231,179,2542,"positive regulation of cellular metabolic process","other metabolic processes","P",1.58930946866371
"72",2441,"Pocillopora_acuta_HIv2___TS.g26760.t1","GO:0031325",0.0257448598133137,0.981097673020706,78,1812,"positive regulation of cellular metabolic process","BP",1,23962,2490,667,955,3259,2892,1940,4120,14424,3624,11643,"positive regulation of cellular metabolic process","other metabolic processes","P",1.58930946866371
"73",1286,"Pocillopora_acuta_HIv2___TS.g23786.t1","GO:0051173",0.0248555290396376,0.981882936288361,75,1730,"positive regulation of nitrogen compound metabolic process","BP",1,936,552,111,128,133,421,214,164,2395,240,2400,"positive regulation of nitrogen compound metabolic process","other metabolic processes","P",1.60457698864849
"74",1874,"Pocillopora_acuta_HIv2___RNAseq.g22884.t1","GO:0051173",0.0248555290396376,0.981882936288361,75,1730,"positive regulation of nitrogen compound metabolic process","BP",1,2745,274,88,176,159,263,385,117,6231,179,2542,"positive regulation of nitrogen compound metabolic process","other metabolic processes","P",1.60457698864849
"75",2446,"Pocillopora_acuta_HIv2___TS.g26760.t1","GO:0051173",0.0248555290396376,0.981882936288361,75,1730,"positive regulation of nitrogen compound metabolic process","BP",1,23962,2490,667,955,3259,2892,1940,4120,14424,3624,11643,"positive regulation of nitrogen compound metabolic process","other metabolic processes","P",1.60457698864849
"76",1273,"Pocillopora_acuta_HIv2___TS.g23786.t1","GO:0010628",0.0234978591446798,0.983853417677752,53,1164,"positive regulation of gene expression","BP",1,936,552,111,128,133,421,214,164,2395,240,2400,"positive regulation of gene expression","other metabolic processes","P",1.62897170385615
"77",1852,"Pocillopora_acuta_HIv2___RNAseq.g22884.t1","GO:0010628",0.0234978591446798,0.983853417677752,53,1164,"positive regulation of gene expression","BP",1,2745,274,88,176,159,263,385,117,6231,179,2542,"positive regulation of gene expression","other metabolic processes","P",1.62897170385615
"78",2438,"Pocillopora_acuta_HIv2___TS.g26760.t1","GO:0010628",0.0234978591446798,0.983853417677752,53,1164,"positive regulation of gene expression","BP",1,23962,2490,667,955,3259,2892,1940,4120,14424,3624,11643,"positive regulation of gene expression","other metabolic processes","P",1.62897170385615
"79",1267,"Pocillopora_acuta_HIv2___TS.g23786.t1","GO:0009058",0.0230500134509461,0.982801111529678,92,2248,"biosynthetic process","BP",1,936,552,111,128,133,421,214,164,2395,240,2400,"biosynthetic process","other metabolic processes","P",1.63732881683963
"80",1845,"Pocillopora_acuta_HIv2___RNAseq.g22884.t1","GO:0009058",0.0230500134509461,0.982801111529678,92,2248,"biosynthetic process","BP",1,2745,274,88,176,159,263,385,117,6231,179,2542,"biosynthetic process","other metabolic processes","P",1.63732881683963
"81",1276,"Pocillopora_acuta_HIv2___TS.g23786.t1","GO:0031328",0.0217887429924802,0.985150061342336,52,1128,"positive regulation of cellular biosynthetic process","BP",1,936,552,111,128,133,421,214,164,2395,240,2400,"positive regulation of cellular biosynthetic process","other metabolic processes","P",1.66176782377744
"82",1858,"Pocillopora_acuta_HIv2___RNAseq.g22884.t1","GO:0031328",0.0217887429924802,0.985150061342336,52,1128,"positive regulation of cellular biosynthetic process","BP",1,2745,274,88,176,159,263,385,117,6231,179,2542,"positive regulation of cellular biosynthetic process","other metabolic processes","P",1.66176782377744
"83",2442,"Pocillopora_acuta_HIv2___TS.g26760.t1","GO:0031328",0.0217887429924802,0.985150061342336,52,1128,"positive regulation of cellular biosynthetic process","BP",1,23962,2490,667,955,3259,2892,1940,4120,14424,3624,11643,"positive regulation of cellular biosynthetic process","other metabolic processes","P",1.66176782377744
"84",1272,"Pocillopora_acuta_HIv2___TS.g23786.t1","GO:0010604",0.0202711453649042,0.985243943425155,80,1839,"positive regulation of macromolecule metabolic process","BP",1,936,552,111,128,133,421,214,164,2395,240,2400,"positive regulation of macromolecule metabolic process","other metabolic processes","P",1.69312171200731
"85",1851,"Pocillopora_acuta_HIv2___RNAseq.g22884.t1","GO:0010604",0.0202711453649042,0.985243943425155,80,1839,"positive regulation of macromolecule metabolic process","BP",1,2745,274,88,176,159,263,385,117,6231,179,2542,"positive regulation of macromolecule metabolic process","other metabolic processes","P",1.69312171200731
"86",2437,"Pocillopora_acuta_HIv2___TS.g26760.t1","GO:0010604",0.0202711453649042,0.985243943425155,80,1839,"positive regulation of macromolecule metabolic process","BP",1,23962,2490,667,955,3259,2892,1940,4120,14424,3624,11643,"positive regulation of macromolecule metabolic process","other metabolic processes","P",1.69312171200731
"87",1283,"Pocillopora_acuta_HIv2___TS.g23786.t1","GO:0045935",0.0193527712185171,0.98700446567628,50,1069,"positive regulation of nucleobase-containing compound metabolic process","BP",1,936,552,111,128,133,421,214,164,2395,240,2400,"positive regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolic process","other metabolic processes","P",1.7132568374287
"88",1871,"Pocillopora_acuta_HIv2___RNAseq.g22884.t1","GO:0045935",0.0193527712185171,0.98700446567628,50,1069,"positive regulation of nucleobase-containing compound metabolic process","BP",1,2745,274,88,176,159,263,385,117,6231,179,2542,"positive regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolic process","other metabolic processes","P",1.7132568374287
"89",2445,"Pocillopora_acuta_HIv2___TS.g26760.t1","GO:0045935",0.0193527712185171,0.98700446567628,50,1069,"positive regulation of nucleobase-containing compound metabolic process","BP",1,23962,2490,667,955,3259,2892,1940,4120,14424,3624,11643,"positive regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolic process","other metabolic processes","P",1.7132568374287
"90",1270,"Pocillopora_acuta_HIv2___TS.g23786.t1","GO:0009893",0.0185138152769562,0.98646990708579,85,1965,"positive regulation of metabolic process","BP",1,936,552,111,128,133,421,214,164,2395,240,2400,"positive regulation of metabolic process","other metabolic processes","P",1.73250407379237
"91",1848,"Pocillopora_acuta_HIv2___RNAseq.g22884.t1","GO:0009893",0.0185138152769562,0.98646990708579,85,1965,"positive regulation of metabolic process","BP",1,2745,274,88,176,159,263,385,117,6231,179,2542,"positive regulation of metabolic process","other metabolic processes","P",1.73250407379237
"92",2436,"Pocillopora_acuta_HIv2___TS.g26760.t1","GO:0009893",0.0185138152769562,0.98646990708579,85,1965,"positive regulation of metabolic process","BP",1,23962,2490,667,955,3259,2892,1940,4120,14424,3624,11643,"positive regulation of metabolic process","other metabolic processes","P",1.73250407379237
"93",956,"Pocillopora_acuta_HIv2___RNAseq.g19477.t1","GO:0045934",0.00896236901677613,0.994331507232597,47,959,"negative regulation of nucleobase-containing compound metabolic process","BP",1,2457,726,394,506,660,320,924,457,5990,429,2265,"negative regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolic process","other metabolic processes","P",2.04757717840443
"94",1282,"Pocillopora_acuta_HIv2___TS.g23786.t1","GO:0045934",0.00896236901677613,0.994331507232597,47,959,"negative regulation of nucleobase-containing compound metabolic process","BP",1,936,552,111,128,133,421,214,164,2395,240,2400,"negative regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolic process","other metabolic processes","P",2.04757717840443
"95",1870,"Pocillopora_acuta_HIv2___RNAseq.g22884.t1","GO:0045934",0.00896236901677613,0.994331507232597,47,959,"negative regulation of nucleobase-containing compound metabolic process","BP",1,2745,274,88,176,159,263,385,117,6231,179,2542,"negative regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolic process","other metabolic processes","P",2.04757717840443
"96",1859,"Pocillopora_acuta_HIv2___RNAseq.g22884.t1","GO:0035035",0.0460205870409628,0.992025885721343,3,22,"histone acetyltransferase binding","MF",1,2745,274,88,176,159,263,385,117,6231,179,2542,"histone acetyltransferase binding","other molecular function","F",1.33704784574941
