gene_id,A_R1_001.bam.gtf,B_R1_001.bam.gtf,C_R1_001.bam.gtf,D_R1_001.bam.gtf,E_R1_001.bam.gtf,F_R1_001.bam.gtf,G_R1_001.bam.gtf,H_R1_001.bam.gtf,L_R1_001.bam.gtf,M_R1_001.bam.gtf,N_R1_001.bam.gtf
STRG.22380,53,77,13,13,28,77,68,46,64,24,8
STRG.16762,10,0,0,0,20,0,21,23,11,18,25
STRG.8663,709,687,575,609,828,557,792,647,640,648,230
STRG.16760,1727,1268,2154,2273,1645,1876,1688,1541,1985,2126,856
STRG.16761,16,12,26,17,20,16,13,12,26,15,43
STRG.16766,546,622,473,408,530,462,565,530,481,451,138
STRG.16767,321,11499,438,185,281,6315,129,3791,369,604,200
STRG.16764,315,276,338,315,387,275,310,375,291,241,72
STRG.8662,1,0,1,0,0,1,0,0,0,1,0
STRG.16768,12,424,23,19,20,292,35,135,7,43,15
STRG.16769,197,243,213,168,229,160,249,191,197,223,49
STRG.8661,7,15,3,0,7,7,4,23,46,0,10
Pocillopora_acuta_HIv2___RNAseq.g7364.t1,0,0,0,0,0,0,0,2,0,0,0
STRG.19415,603,878,324,375,731,881,722,608,790,646,214
STRG.15041,449,671,490,434,559,376,555,444,334,449,147
STRG.19414,358,502,511,542,441,533,486,381,509,544,210
STRG.8667,28,74,30,20,11,65,20,102,58,29,42
STRG.8666,9,0,3,0,0,0,5,2,10,7,0
Pocillopora_acuta_HIv2___RNAseq.g1819.t1,0,0,0,0,0,0,14,0,0,0,0
STRG.15044,185,241,166,334,175,413,182,202,135,209,94
STRG.8664,4,8,4,5,8,6,10,5,9,6,3
STRG.19410,154,201,166,237,88,252,168,200,151,154,133
Pocillopora_acuta_HIv2___RNAseq.g14827.t1,0,0,0,0,0,0,1,0,0,0,0
STRG.8669,30,62,11,5,11,65,9,25,59,28,11
Pocillopora_acuta_HIv2___RNAseq.g19519.t1,0,0,0,0,0,0,0,0,0,0,0
STRG.19486,97,98,294,163,80,22,22,55,182,19,34
STRG.19487,157,147,249,255,252,158,194,198,181,156,103
Pocillopora_acuta_HIv2___RNAseq.g9328.t1,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g1409.t1b,0,0,0,3,0,3,0,0,0,5,0
STRG.19482,148,134,263,223,175,51,203,142,186,235,45
STRG.19483,156,201,382,422,286,200,169,178,119,155,47
STRG.19480,496,847,1544,2022,824,1862,1756,537,646,974,149
STRG.19481,115,191,94,160,162,342,294,239,173,261,133
Pocillopora_acuta_HIv2___RNAseq.g30528.t1,0,0,0,0,0,0,0,0,0,0,1
STRG.19488,94,73,54,51,97,63,134,90,44,72,24
Pocillopora_acuta_HIv2___RNAseq.g30834.t1,0,0,0,0,0,0,1,0,0,0,0
STRG.19203,5590,5879,1302,1446,5383,3806,10657,2722,6784,5491,6408
STRG.19158,432,480,102,118,474,278,674,270,311,632,134
STRG.19159,246,142,52,78,233,127,272,112,208,195,124
STRG.19150,537,598,688,609,647,512,569,538,604,481,460
STRG.19151,427,292,615,554,400,426,375,432,427,437,234
STRG.19152,130,165,160,159,205,138,178,122,150,78,55
STRG.19153,3,1,10,4,0,1,3,0,1,0,6
STRG.19154,3,6,2,2,5,15,9,5,2,8,4
Pocillopora_acuta_HIv2___RNAseq.g29557.t1,0,35,9,0,40,29,22,17,33,31,11
STRG.19156,659,997,502,498,589,1022,815,809,976,792,333
STRG.19157,531,528,718,698,466,628,498,494,579,662,141
STRG.6841,798,1385,324,600,1235,1319,695,861,923,661,313
STRG.6840,1351,2604,336,480,2183,1339,779,1820,1194,1442,458
Pocillopora_acuta_HIv2___RNAseq.16656_t,0,0,0,0,0,0,0,0,0,0,0
STRG.6842,724,1258,716,667,1249,795,975,1063,924,866,220
STRG.15868,1413,1222,1431,1328,1505,1228,1546,1450,1420,1416,276
STRG.15869,448,681,428,509,527,574,528,442,652,457,356
STRG.6847,21,306,38,23,6,84,7,57,70,48,27
STRG.6846,2605,2410,3343,3034,2998,2625,3037,2420,3167,2628,1104
STRG.6849,1946,987,297,319,1173,794,932,500,1308,826,751
STRG.6848,6,9,4,32,7,19,0,12,29,9,24
STRG.15866,785,754,1231,908,777,472,633,713,1268,580,329
STRG.15867,241,264,264,169,226,213,185,237,165,282,53
STRG.15860,62,45,28,0,44,43,40,51,60,50,0
STRG.15861,684,879,576,546,874,774,831,712,739,782,133
STRG.15862,1895,2177,2080,2235,2453,2158,2202,2220,2192,1867,1225
STRG.15863,212,214,274,340,320,197,284,174,270,178,174
STRG.4991,279,275,223,180,275,178,183,221,257,269,26
STRG.4990,831,1439,453,420,692,1540,823,1310,872,1026,388
STRG.4993,2654,2744,3738,3008,3052,3203,3203,3040,3499,3283,1389
STRG.4992,2,61,18,0,5,20,0,18,5,11,0
STRG.4995,335,171,181,134,274,239,564,124,520,454,300
STRG.4994,323,232,420,219,299,311,415,185,448,298,116
STRG.4997,46,17,26,0,42,5,73,3,72,23,32
STRG.4996,67,19,291,180,74,106,145,19,57,53,29
STRG.4999,179,186,198,148,225,126,365,109,271,243,112
STRG.4998,253,197,223,111,384,169,187,207,321,120,142
Pocillopora_acuta_HIv2___RNAseq.g22737.t1,0,0,25,42,12,35,6,6,2,30,3
Pocillopora_acuta_HIv2___RNAseq.g17690.t1,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g13016.t1,0,0,0,0,0,0,0,4,0,0,0
STRG.257,4,0,0,0,0,6,5,0,0,0,0
STRG.256,4,8,2,2,13,8,0,4,6,0,20
STRG.255,3,4,38,4,6,3,3,3,18,3,7
STRG.254,9,0,0,0,0,4,9,0,3,0,0
STRG.253,2,2,0,4,5,4,2,3,3,3,0
STRG.252,45,38,19,12,13,13,14,10,37,14,10
STRG.251,5,3,6,3,9,8,14,5,9,3,23
STRG.250,4,0,2,0,0,3,0,0,1,0,0
STRG.259,5,4,0,4,0,0,0,2,9,3,0
STRG.258,21,0,5,6,11,7,8,0,15,16,0
STRG.21126,559,629,434,325,570,521,555,565,547,476,135
STRG.21127,194,252,185,170,236,183,213,173,168,149,57
STRG.21124,128,223,191,163,166,195,277,228,132,163,5
STRG.21125,727,973,699,627,926,655,677,764,692,961,166
STRG.21122,105,70,20,30,65,59,131,52,60,49,36
STRG.21123,249,288,386,224,478,204,535,261,237,312,90
Pocillopora_acuta_HIv2___RNAseq.g23925.t1,0,0,2,0,3,0,0,0,0,3,0
STRG.21121,1182,1618,1219,1241,1981,1317,1741,1510,1256,1542,443
Pocillopora_acuta_HIv2___TS.g26501.t1,0,0,0,0,0,0,0,0,0,0,0
STRG.10332,28,30,126,113,27,70,55,14,39,57,7
STRG.10331,136,112,185,167,114,108,128,135,182,111,168
STRG.10330,175,209,197,101,165,90,155,151,169,78,53
Pocillopora_acuta_HIv2___RNAseq.g18020.t1,0,13,28,30,6,16,9,7,14,5,11
STRG.10336,314,296,475,421,329,344,311,394,344,359,149
STRG.21128,993,1265,1386,1170,1351,1227,1213,1218,1273,1324,1028
STRG.21129,75,105,137,107,104,109,98,136,64,124,38
STRG.20839,1472,1967,1706,1754,1807,1205,1692,1649,1414,1419,435
STRG.17577,108,106,160,129,170,149,107,157,98,154,65
STRG.20833,36,14,70,57,21,38,42,26,19,50,0
STRG.20832,134,284,274,268,175,212,222,193,153,197,110
STRG.20831,1413,1365,940,1093,1292,1088,1423,1526,1515,1336,301
STRG.20830,1503,2309,8586,5884,3201,3498,3978,2034,1981,3547,762
Pocillopora_acuta_HIv2___RNAseq.g20885.t1,0,0,0,0,0,0,0,0,0,0,0
STRG.20836,1025,926,1000,1004,1070,1029,1028,896,932,1088,288
STRG.20835,371,489,318,341,520,317,596,324,326,548,90
STRG.20834,783,936,1201,997,870,1065,971,1077,1054,734,185
Pocillopora_acuta_HIv2___RNAseq.g27646.t1,0,0,0,0,0,0,7,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g6388.t1,0,0,5,0,0,0,7,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g20235.t1,0,0,0,0,0,0,15,0,0,0,0
STRG.2433,1359,1919,702,974,1441,1670,1709,1503,1226,1638,294
STRG.14384,2074,1760,1333,1137,1416,2339,1634,1812,2055,1586,688
Pocillopora_acuta_HIv2___RNAseq.g18832.t1,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g22032.t1,0,6,1,1,1,1,0,0,6,1,4
Pocillopora_acuta_HIv2___RNAseq.g28780.t1,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g11424.t1,0,4,0,4,0,0,0,0,10,0,0
Pocillopora_acuta_HIv2___TS.g19030.t1,0,1,0,0,0,1,0,1,0,0,0
STRG.3509,184,249,110,132,227,132,208,189,197,201,46
STRG.3508,122,328,13,42,1894,522,1208,420,372,236,55
STRG.3507,151,224,85,43,218,80,229,96,126,152,36
STRG.2438,119,576,221,235,176,569,226,236,144,355,42
STRG.3505,4,4,7,7,11,4,8,5,5,6,3
STRG.3504,8,11,6,8,7,8,0,7,14,9,9
STRG.3503,2,1,2,1,1,1,4,7,6,0,4
STRG.3502,24,22,18,17,16,9,8,0,54,8,55
STRG.3501,4,0,1,0,4,3,0,3,0,0,0
STRG.2439,4,0,0,3,0,1,11,0,0,0,6
Pocillopora_acuta_HIv2___TS.g22867.t1,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___TS.g26503.t1,0,1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g19521.t1,0,0,0,0,0,0,5,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g23372.t1,0,0,0,2,0,5,0,0,0,0,4
STRG.7087,385,387,637,547,485,480,398,485,331,460,519
STRG.7084,2746,3539,3329,4111,3844,3227,3162,3187,3273,2784,3242
STRG.7085,203,187,193,239,204,193,197,181,187,187,102
STRG.7082,2448,3638,1958,1809,2935,2159,2857,2668,1790,2213,640
STRG.7083,761,825,838,829,628,763,746,673,722,699,264
STRG.7080,393,517,377,504,452,429,427,449,490,352,212
STRG.7081,525,660,427,380,618,499,527,583,546,587,104
Pocillopora_acuta_HIv2___RNAseq.g20108.t1,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g8517.t1,0,0,0,0,0,0,0,0,0,0,0
STRG.7088,1003,1064,625,581,1054,781,878,928,1078,838,296
STRG.7089,2149,3555,2965,2462,3283,2717,2426,2017,4854,2189,738
Pocillopora_acuta_HIv2___RNAseq.g27644.t1,0,0,0,2,0,0,0,0,0,0,35
STRG.1866,8,0,1,0,0,22,0,0,4,26,0
STRG.1867,4,5,15,5,0,8,4,2,5,5,0
STRG.1864,503,346,0,0,447,61,318,159,554,397,215
STRG.14059,1960,2902,2230,1942,2544,2344,3051,2781,2616,2911,427
STRG.1862,136,83,30,47,183,112,236,163,68,221,60
Pocillopora_acuta_HIv2___RNAseq.g18830.t1,0,0,0,0,0,0,0,0,0,0,0
STRG.1860,57,101,3,0,136,47,127,80,19,133,13
STRG.1861,45,32,5,15,68,21,75,54,19,73,41
STRG.14052,1114,1247,1712,1320,1286,1122,1448,1180,1160,1229,323
STRG.14053,5,6,3,3,8,0,2,0,17,4,4
STRG.14050,3361,2759,2915,3547,3740,3638,3386,3601,3899,3881,2126
STRG.14051,1812,2592,1272,1228,2103,1928,2044,2043,2026,1645,518
STRG.14056,633,807,633,646,887,626,902,705,570,759,167
STRG.14057,30,24,16,11,21,15,22,22,32,25,8
STRG.14054,592,655,874,896,701,734,599,646,508,639,241
STRG.1869,35,61,29,34,84,58,86,62,37,86,25
STRG.16995,17,0,21,8,12,7,9,12,14,6,5
STRG.8508,567,491,573,595,583,480,640,543,495,429,207
STRG.8509,610,798,989,748,622,494,650,660,445,547,158
STRG.7338,29,31,62,63,43,23,57,43,41,54,0
STRG.7339,151,167,263,244,209,192,301,225,211,244,83
STRG.9777,2,0,0,0,0,0,15,0,0,3,0
STRG.7334,2917,2549,2861,2452,2291,2216,2239,2422,2550,2336,909
Pocillopora_acuta_HIv2___RNAseq.g30234.t1,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g30279.t1,0,0,0,0,0,0,0,0,0,0,0
STRG.8501,9,45,17,0,16,15,10,13,34,0,24
STRG.7330,398,527,1007,643,616,393,1229,286,535,441,120
STRG.7331,210,538,661,604,463,490,650,312,199,548,58
STRG.8504,259,388,391,460,313,340,291,328,357,388,131
STRG.7333,1880,2425,2172,2083,2294,1587,1979,1842,1738,1785,912
STRG.9775,3,0,0,0,0,0,0,0,0,1,3
Pocillopora_acuta_HIv2___RNAseq.g6899.t1,0,0,0,0,0,0,3,0,0,0,0
STRG.9772,4448,3010,6909,5236,3952,4136,4454,3094,5720,4402,3365
STRG.16990,23,13,20,17,20,21,33,22,22,37,22
Pocillopora_acuta_HIv2___TS.g12010.t1,0,4,38,28,3,20,10,5,5,20,0
STRG.15594,209,130,155,92,141,154,148,151,107,139,57
STRG.16993,1202,1229,1208,1147,1581,876,1595,1117,1418,1248,420
STRG.9771,979,678,349,491,602,712,802,614,981,750,314
Pocillopora_acuta_HIv2___RNAseq.g12504.t1,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g3390.t1,0,0,0,0,0,0,0,0,0,0,0
STRG.21647,4,11,20,9,21,0,6,13,3,46,11
STRG.21646,259,386,144,179,189,361,170,272,265,233,66
Pocillopora_acuta_HIv2___RNAseq.g16192.t1a,0,0,0,0,0,0,7,0,7,7,0
STRG.9778,31,17,0,19,36,15,35,0,31,11,27
STRG.15429,767,632,1214,947,760,880,682,751,899,808,788
STRG.9779,1018,2835,506,536,746,1943,1087,1220,888,1019,320
Pocillopora_acuta_HIv2___RNAseq.g12506.t1,0,0,0,0,0,0,0,0,0,0,0
STRG.23719,73,32,19,34,55,69,64,56,47,123,18
STRG.23718,245,292,94,108,230,170,212,295,222,268,28
STRG.23713,6,7,8,13,4,3,5,5,2,0,9
STRG.23712,114,81,95,157,135,83,86,110,112,120,21
STRG.23711,196,258,219,156,349,154,391,198,254,193,165
STRG.23710,5,3,0,5,8,6,18,4,0,4,0
STRG.23717,2,7,5,4,5,7,4,0,7,8,0
STRG.23716,5,0,0,1,7,0,7,5,8,1,3
STRG.23715,2,6,4,0,0,4,0,2,3,0,0
STRG.23714,2,5,10,2,7,11,11,2,0,10,3
Pocillopora_acuta_HIv2___RNAseq.g16589.t1,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___TS.g20278.t1,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___TS.g6838.t1,0,0,3,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g21586.t1,0,0,0,0,0,0,0,0,0,0,3
STRG.6069,764,1081,981,1086,983,847,816,1013,899,668,794
STRG.6068,799,687,561,467,752,639,790,1046,649,716,92
STRG.6067,1772,1898,2198,2167,1927,1703,1707,1843,1971,1723,1438
Pocillopora_acuta_HIv2___RNAseq.g14384.t1a,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g14384.t1b,0,0,0,0,0,0,0,0,0,0,0
STRG.6064,5,6,13,0,17,0,4,8,13,6,17
STRG.6063,250,258,208,191,227,285,243,281,243,203,49
STRG.6062,46,51,20,23,26,81,48,74,42,66,43
STRG.6061,195,209,236,146,203,157,220,147,201,183,21
STRG.6060,2518,3328,2333,2330,3336,2533,3096,3023,3076,2967,1198
Pocillopora_acuta_HIv2___TS.g11411.t1,0,0,0,0,0,0,0,0,0,0,0
STRG.17025,1262,1255,1346,1210,742,1616,1043,1253,1582,993,691
STRG.12063,628,794,13,4,1067,82,797,1139,775,501,61
Pocillopora_acuta_HIv2___RNAseq.g398.t1,0,0,0,0,0,0,0,0,0,0,0
STRG.17689,28,10,29,26,36,10,23,21,19,25,11
Pocillopora_acuta_HIv2___RNAseq.g19729.t1,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g17659.t1,0,0,0,0,0,0,0,10,0,3,0
STRG.12068,18,18,8,17,44,7,22,13,35,29,9
Pocillopora_acuta_HIv2___RNAseq.g31106.t1,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27463.t1,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g9688.t1,0,2,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g22030.t1,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g14396.t1,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g24234.t1,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g3470.t1,0,0,96,38,0,33,9,0,3,17,2
Pocillopora_acuta_HIv2___TS.g8550.t1a,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g25018.t1,0,3,0,0,10,0,0,0,0,0,5
Pocillopora_acuta_HIv2___RNAseq.g14394.t1,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g1524.t1,0,0,0,0,0,0,0,0,0,0,0
STRG.21823,438,457,672,448,521,380,418,380,559,387,233
STRG.21822,60,59,158,123,54,66,38,55,28,48,25
STRG.21821,281,314,350,222,391,222,197,249,300,273,23
STRG.21820,68,35,59,41,0,55,29,19,79,49,103
STRG.21827,3,1,0,0,2,1,1,0,0,2,1
STRG.21826,40,10,27,16,12,14,16,0,22,20,13
STRG.21825,7,11,16,7,12,5,16,8,13,14,30
STRG.21824,2,2,1,0,2,2,1,2,5,7,0
STRG.21829,814,1566,466,322,1625,542,1261,1098,856,1033,322
STRG.21828,5,2,8,6,8,1,6,4,3,0,0
Pocillopora_acuta_HIv2___RNAseq.g31104.t1,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___TS.g15644.t1,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___TS.g12622.t1,0,0,0,0,2,0,0,0,0,0,0
Pocillopora_acuta_HIv2___TS.g5844.t1,0,10,11,10,2,16,40,10,13,15,3
Pocillopora_acuta_HIv2___TS.g25759.t1,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g2.t1,0,1,0,0,1,0,0,0,0,0,0
Pocillopora_acuta_HIv2___TS.g11040.t1,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g6476.t1,0,0,3,0,0,0,0,0,0,3,0
STRG.9863,1,3,7,6,4,0,4,4,6,5,10
STRG.13523,12,10,48,12,13,11,86,0,0,0,2
STRG.13522,35,0,15,11,24,25,24,15,17,31,9
STRG.13521,1026,1044,1340,1073,1047,1074,1231,816,1343,967,551
STRG.13520,166,182,321,291,143,178,236,104,160,182,70
STRG.13527,1086,1491,1361,1207,1348,1358,1309,1566,1252,1530,970
STRG.13526,1312,2470,1135,1219,2999,1403,2268,2131,1361,1706,393
STRG.13525,37,93,0,0,81,23,117,57,89,65,23
STRG.13524,947,1372,1474,1480,1267,1078,1041,1016,949,1120,1057
STRG.13529,3531,3761,5529,4547,4152,3051,4749,2811,4316,3359,4570
STRG.13528,823,849,575,452,779,656,458,529,984,615,321
Pocillopora_acuta_HIv2___RNAseq.g2708.t1,0,0,0,0,0,3,0,0,1,0,0
Pocillopora_acuta_HIv2___RNAseq.g15175.t1a,0,0,0,0,0,0,0,0,0,0,0
