"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","A","B","C","D","E","F","G","H","L","M","N"
"Pocillopora_acuta_HIv2___RNAseq.g27701.t1",1563.04653568986,1.35663372308102,0.409046824949863,3.31657316554726,0.000911287228286125,0.0372933363853927,1456,956,1000,1563,1500,1326,1260,1331,1812,1204,2234
"Pocillopora_acuta_HIv2___RNAseq.g24542.t1",178.205341669124,1.24231445565939,0.236263337538384,5.25817703501101,1.45490425039028e-07,7.09055110663499e-05,303,136,116,154,185,122,142,153,263,152,171
"Pocillopora_acuta_HIv2___RNAseq.g20476.t1",334.543873847638,2.35099819753958,0.682241494895065,3.44599121444699,0.000568968856688852,0.0282566358034709,661,345,213,190,47,434,64,133,817,112,405
"Pocillopora_acuta_HIv2___TS.g17417.t1",158.95880217597,-0.822207683612433,0.241516856710498,-3.40434905791275,0.000663219432912158,0.0310632776021437,91,187,260,158,218,200,178,193,121,174,55
"Pocillopora_acuta_HIv2___RNAseq.g1667.t1",527.605010644977,0.474934767081702,0.139177532663403,3.41243847331535,0.000643844593033383,0.0304312117921852,613,457,447,551,571,578,524,661,677,556,284
"Pocillopora_acuta_HIv2___RNAseq.g11378.t1",60.2759126182825,1.46462820855185,0.464570061205284,3.15265302450186,0.00161793995125799,0.0499949452889735,73,39,27,39,67,52,44,49,73,55,86
"Pocillopora_acuta_HIv2___RNAseq.g2539.t1",163.932266233223,2.08743174776537,0.601985598898412,3.46757754933875,0.000525172184479329,0.0265215515487674,232,153,43,45,76,262,79,149,296,91,222
"Pocillopora_acuta_HIv2___RNAseq.g892.t1",29.3045095721323,1.61939507974134,0.507091578943203,3.19349629728858,0.00140561140196309,0.0458341806574076,45,17,16,20,29,30,19,16,33,23,43
"Pocillopora_acuta_HIv2___RNAseq.g18506.t1",189.432672068566,-0.742619779455911,0.193675245531912,-3.83435568864968,0.000125893857983884,0.0104668861364753,143,251,299,205,254,187,227,209,165,217,52
"Pocillopora_acuta_HIv2___RNAseq.g21280.t1",504.023253510306,1.75798339169544,0.483516902532111,3.63582613656135,0.00027709117949557,0.0179822620624366,896,573,206,315,242,829,206,427,918,265,469
"Pocillopora_acuta_HIv2___RNAseq.g10272.t2",1410.92908328194,0.437577338404853,0.0945442584699313,4.62828039995702,3.68714565613418e-06,0.000930869382601096,1695,1452,1483,1339,1510,1338,1522,1225,2024,1336,848
"Pocillopora_acuta_HIv2___RNAseq.g4972.t1",74.9795462719559,-4.33605223326821,1.3212647118172,-3.28174376753362,0.00103167307380361,0.0396983196540564,8,6,367,216,27,117,66,5,8,67,0
"Pocillopora_acuta_HIv2___TS.g20669.t2",1259.09539890696,1.52772665534214,0.421312737737026,3.62611076880308,0.000287721972900149,0.0184409296686653,1622,1389,539,511,1380,1043,665,758,2602,767,1632
"Pocillopora_acuta_HIv2___RNAseq.g6467.t1",114.170501208891,-2.54880179476335,0.768958724599528,-3.31461457322142,0.000917695631840101,0.0372933363853927,48,83,473,251,129,97,102,96,26,38,9
"Pocillopora_acuta_HIv2___RNAseq.g16887.t1",10318.9890126482,-0.343678805376484,0.108669150848763,-3.16261609382399,0.00156358377680966,0.0489099913705902,8584,12196,12092,11782,13476,9817,12287,12488,9732,11976,4041
"Pocillopora_acuta_HIv2___RNAseq.g18197.t1",287.858371857364,0.953432726470074,0.17291390977724,5.51391572660842,3.50936688500979e-08,2.59467547333831e-05,336,253,213,295,244,276,248,273,464,317,221
"Pocillopora_acuta_HIv2___RNAseq.g7959.t1",138.735613367256,1.2094133812727,0.255334711014899,4.73658037509101,2.17354561824364e-06,0.000633756920970139,263,143,109,102,127,90,104,67,242,131,120
"Pocillopora_acuta_HIv2___RNAseq.g26325.t1",1834.4871918439,1.58509127329777,0.424767970360878,3.7316638350841,0.000190219234260393,0.0137689461106946,3183,2003,538,872,1090,2110,1321,1996,3141,1530,1729
"Pocillopora_acuta_HIv2___RNAseq.g7395.t1b",35.6257904223185,2.11769776422287,0.531268764090762,3.9861138229107,6.71643013192471e-05,0.00707599148077908,53,18,21,18,28,24,13,24,44,28,65
"Pocillopora_acuta_HIv2___RNAseq.g8589.t1",3077.91528206015,-5.44166181439364,1.40732091295208,-3.86668155380346,0.000110326338021903,0.00955638430849136,80,369,14911,12497,326,4407,1698,220,59,1447,65
"Pocillopora_acuta_HIv2___RNAseq.g10393.t1",358.785138666108,-1.56052351673027,0.343278917245406,-4.54593462730677,5.46920110843488e-06,0.00125803779274243,152,666,680,529,308,408,364,498,174,363,68
"Pocillopora_acuta_HIv2___RNAseq.g24282.t1",59.8632912873134,1.88676841553642,0.581344073999768,3.24552790665786,0.00117233073513548,0.0424293546831726,63,28,40,63,50,59,31,14,110,35,94
"Pocillopora_acuta_HIv2___RNAseq.25613_t",1456.93554990125,1.79647267956432,0.361270441416908,4.97265337434894,6.60426837726293e-07,0.000253188081381661,1622,1311,965,930,895,1128,894,656,4333,640,1745
"Pocillopora_acuta_HIv2___RNAseq.g18273.t1",1690.56519489008,-0.684888904554894,0.177774453887628,-3.85257211920795,0.000116883535046969,0.0100300388666619,1321,2173,2402,1904,2334,1484,2199,1816,1612,2056,451
"Pocillopora_acuta_HIv2___RNAseq.g5987.t1",1038.14670047873,-0.98314427212375,0.261707177643183,-3.75665765447285,0.000172197806465596,0.0131060256965102,655,1182,1402,1962,1345,1395,1225,1047,607,1028,244
"Pocillopora_acuta_HIv2___TS.g17823.t1",676.362136007695,1.84334998879023,0.388948892521963,4.73931157597045,2.1444554215758e-06,0.000633756920970139,1329,472,487,412,248,1023,375,587,1321,387,582
"Pocillopora_acuta_HIv2___RNAseq.g24558.t1",102.566653831576,2.02561869890816,0.630364055109353,3.21341085756668,0.00131168507718302,0.04424452381671,239,23,70,19,115,66,54,63,106,60,172
"Pocillopora_acuta_HIv2___RNAseq.g8336.t1",1168.11664859523,1.59173928690112,0.4477161390027,3.55524214616602,0.000377631138131562,0.021898374850419,1756,802,478,641,1100,866,1001,765,1143,1174,1796
"Pocillopora_acuta_HIv2___TS.g13477.t1",13.5379286603842,-20.9228521216456,3.07954457050979,-6.79413843267804,1.089617209193e-11,1.87977128872612e-08,0,109,0,0,0,32,0,9,0,16,0
"Pocillopora_acuta_HIv2___RNAseq.g6973.t1",290.281963388625,1.47641915360252,0.421076886840985,3.50629350539505,0.000454393858387231,0.024684992761373,403,256,142,103,199,408,237,253,673,232,239
"Pocillopora_acuta_HIv2___RNAseq.g5300.t1",579.876757894173,-2.87456304113048,0.812363668378292,-3.53851748056252,0.000402380638306867,0.0227597922793136,107,129,2100,1290,552,744,791,116,129,851,49
"Pocillopora_acuta_HIv2___RNAseq.g3720.t1",281.177972437229,-0.815444235242976,0.247980369383449,-3.28834188476454,0.00100779375306936,0.0392767713845386,228,320,498,369,324,278,398,278,200,296,80
"Pocillopora_acuta_HIv2___TS.g26541.t1",40.2627477207862,2.37357398997274,0.669533439719433,3.54511641863232,0.000392439714466739,0.0224427816820178,77,27,11,9,10,6,42,15,125,34,54
"Pocillopora_acuta_HIv2___RNAseq.g20997.t1b",171.478488286484,1.99995043469033,0.425786725722478,4.69707088988461,2.6391887356056e-06,0.000738330881141989,220,80,88,78,146,183,86,104,322,145,252
"Pocillopora_acuta_HIv2___RNAseq.g9823.t1",1305.68806993892,-1.13277988773,0.308320929449972,-3.6740285187607,0.000238756066798876,0.0161910722471403,862,1519,1753,1068,2372,1837,1162,1974,668,1811,275
"Pocillopora_acuta_HIv2___RNAseq.g29441.t1",6045.60053614649,1.09077696043671,0.301556501827538,3.61715616750498,0.000297857607873466,0.0189730713790661,8867,6375,2462,4238,6025,5341,6036,5843,11369,4947,4660
"Pocillopora_acuta_HIv2___RNAseq.g26446.t1",2756.9268811628,-0.788998269196976,0.221489682846294,-3.56223485923953,0.000367711202386995,0.021488832032062,1723,3865,2867,4012,4078,3843,2844,3398,1763,2593,882
"Pocillopora_acuta_HIv2___RNAseq.g9198.t1",196.800114528936,-4.29869336687118,1.29511549865521,-3.31915830776077,0.000902892275123545,0.037239357697251,3,11,885,668,35,364,92,12,24,207,5
"Pocillopora_acuta_HIv2___RNAseq.g8725.t1",87.0588910470826,-4.05681089248704,1.25945820498677,-3.22107623454616,0.00127710172226323,0.0439178735121152,11,6,507,247,71,70,48,4,5,54,5
"Pocillopora_acuta_HIv2___RNAseq.g23081.t1",213.955649941239,2.34952786216954,0.682728289072379,3.44138056057679,0.000578753919139218,0.0285270562714764,459,161,22,25,100,149,180,181,546,89,273
"Pocillopora_acuta_HIv2___TS.g21338.t1",218.872758086954,0.639264528480682,0.198601330303973,3.21883306371736,0.00128713394646904,0.0440433834046314,317,182,240,239,208,186,214,202,268,212,147
"Pocillopora_acuta_HIv2___RNAseq.g23820.t1",3623.67673901492,2.46097198214887,0.62374484457648,3.94547867376741,7.96407204312402e-05,0.00773656122619715,4845,1094,3318,4051,1137,1390,1708,879,11145,847,5445
"Pocillopora_acuta_HIv2___RNAseq.g25279.t1",2604.17383716386,-5.06350959131663,1.56548270025417,-3.23447176420061,0.00121867970119526,0.0431298362999168,62,82,12963,10023,350,4166,759,63,55,1832,83
"Pocillopora_acuta_HIv2___TS.g17764.t1",284.114384153286,-4.42514748962064,1.38283557355932,-3.20005326318777,0.00137402192919897,0.0452945891373837,22,9,1422,981,21,543,169,15,5,122,12
"Pocillopora_acuta_HIv2___RNAseq.g229.t1",33.2021744048185,3.11440411541035,0.817047971871025,3.81177632480798,0.000137971701739912,0.011245236887479,43,11,8,2,9,16,22,14,41,6,95
"Pocillopora_acuta_HIv2___RNAseq.g14798.t1",2126.35075879788,0.744174046561543,0.23478356098148,3.16961734224758,0.00152639811318126,0.0482435018917228,2456,2420,2183,2045,1598,1998,2028,1624,4376,1801,1260
"Pocillopora_acuta_HIv2___RNAseq.g1696.t1",72.0754849088633,1.42353405561182,0.444787476650807,3.20048142166873,0.00137198213974011,0.0452945891373837,91,64,56,38,41,73,66,64,226,30,49
"Pocillopora_acuta_HIv2___RNAseq.g1728.t1",2495.49936478094,1.51868230225861,0.339647279696169,4.47135129012999,7.77268998171117e-06,0.00164139912638701,5262,2321,1082,1368,2186,1839,1732,2501,3156,2075,2637
"Pocillopora_acuta_HIv2___RNAseq.g21695.t1",399.853589391341,-1.56869292715224,0.292744379296901,-5.35857573395551,8.38805742011655e-08,5.26210802155311e-05,210,538,661,604,463,490,650,312,199,548,58
"Pocillopora_acuta_HIv2___RNAseq.g16765.t1",455.770920593546,-1.21160247462177,0.379600928858068,-3.19177953085249,0.00141399216674016,0.0459290647511538,307,492,628,870,461,598,679,407,261,637,48
"Pocillopora_acuta_HIv2___RNAseq.g26329.t1",2612.96731174915,-4.1490718271638,1.11410823050412,-3.72411917761922,0.000195998326772474,0.0139685365167382,213,171,12547,6843,1466,3330,2516,93,223,3376,106
"Pocillopora_acuta_HIv2___TS.g17825.t1",201.42881927535,1.83306960185281,0.414491677292724,4.42245213179094,9.75869744082809e-06,0.00187059772611132,360,165,95,162,88,356,97,182,312,120,189
"Pocillopora_acuta_HIv2___TS.g27323.t1a",148.805522977024,-9.66556131025479,2.90082307144606,-3.33200649339724,0.000862222443905291,0.0365025133614056,0,0,731,478,15,285,65,0,0,174,0
"Pocillopora_acuta_HIv2___RNAseq.g25451.t1",1225.01267810725,0.981696740229596,0.303997749849159,3.22928949545417,0.00124098203292507,0.0432505219623145,1721,1883,989,890,1087,664,870,915,2280,687,1163
"Pocillopora_acuta_HIv2___RNAseq.g25844.t1",92.6078034058933,-3.83992510228647,1.16343129244932,-3.30051729501143,0.000965067652476513,0.0383470835730686,5,8,471,228,29,102,117,16,22,99,2
"Pocillopora_acuta_HIv2___RNAseq.g21512.t2",2257.82007072998,-0.686456240174462,0.168244774342367,-4.08010437683829,4.50154830701699e-05,0.00538676607236218,1830,3247,2400,2105,3390,2282,3211,2704,2004,2557,640
"Pocillopora_acuta_HIv2___RNAseq.g362.t1",469.035321602683,0.963072203026404,0.288702602663487,3.33586255939981,0.000850351924405291,0.0362248953385579,513,380,431,343,399,451,444,393,613,478,495
"Pocillopora_acuta_HIv2___RNAseq.g30653.t1a",135.972605519267,1.76709525278302,0.411603383958009,4.29319903979045,1.76116989457329e-05,0.00264201008387364,196,81,122,85,102,81,73,69,189,90,227
"Pocillopora_acuta_HIv2___RNAseq.26125_t",4768.00615322473,2.57672177894428,0.488158033864894,5.27845820449497,1.30275371961716e-07,7.09055110663499e-05,9307,3239,2481,2111,1203,5620,1307,3534,8310,2137,7298
"Pocillopora_acuta_HIv2___RNAseq.g12222.t1",2139.14196795824,0.818772217640348,0.218241217698761,3.75168460968956,0.000175650343245956,0.0131750485720209,2668,1843,1728,1793,2030,2065,1824,2704,2511,2308,1722
"Pocillopora_acuta_HIv2___RNAseq.g23642.t1",80.8247427299495,1.49679821203193,0.468151622134561,3.1972509359408,0.00138744170669664,0.0455195217306401,92,72,33,67,70,79,65,45,107,54,120
"Pocillopora_acuta_HIv2___TS.g6329.t1",506.667345748668,0.810488096351422,0.21742662240147,3.72763963952347,0.000193281474115578,0.0139418574116401,593,460,435,565,477,389,468,414,723,567,413
"Pocillopora_acuta_HIv2___RNAseq.g28366.t1",24.8020763957599,-7.14943368221512,1.87673560838214,-3.80950499915029,0.00013924529132251,0.0112453721113182,0,5,125,93,2,26,10,3,0,28,0
"Pocillopora_acuta_HIv2___RNAseq.g24379.t1",95.5662623906258,2.11652046663012,0.635079785546008,3.33268435683314,0.0008601246386738,0.0365025133614056,85,64,34,18,59,45,68,70,155,95,192
"Pocillopora_acuta_HIv2___RNAseq.g14599.t1",589.410959865092,-0.778177394331419,0.217341619436914,-3.5804343243025,0.000343023556356843,0.0208248494536638,481,915,748,805,812,594,672,685,469,572,142
"Pocillopora_acuta_HIv2___RNAseq.g7884.t1",40.8229713576563,-1.32548866849898,0.405424935395548,-3.26938121653958,0.00107782980863482,0.0410169718719818,27,45,61,58,63,35,52,59,22,59,4
"Pocillopora_acuta_HIv2___RNAseq.g2273.t1",7333.84151960692,-1.31312248015202,0.288319064998068,-4.55440738946909,5.25334616881452e-06,0.00123584968621362,5129,10923,11793,7303,14497,3994,12723,7546,5950,6239,1307
"Pocillopora_acuta_HIv2___TS.g13327.t1",60.9555400595452,2.15363242872667,0.369616078704323,5.82667408916885,5.65428803185427e-09,5.08935090588901e-06,128,28,50,31,43,35,21,33,128,33,83
"Pocillopora_acuta_HIv2___RNAseq.g7229.t1",4378.58002048162,-0.479674510898951,0.128514632094584,-3.73245056287382,0.00018962592184642,0.0137689461106946,3762,5892,5145,4812,6048,4542,5288,5291,4148,4341,1438
"Pocillopora_acuta_HIv2___RNAseq.g10431.t1",68.7294590153754,2.69051446234145,0.503574377149408,5.34283431490636,9.15043954639062e-08,5.57154116145231e-05,116,37,27,34,19,100,22,45,115,46,107
"Pocillopora_acuta_HIv2___RNAseq.g12168.t1",120.73527915973,3.19926868139509,0.622702477414649,5.13771632108786,2.78097258849368e-07,0.000122492967078715,270,73,36,35,17,130,26,93,278,30,187
"Pocillopora_acuta_HIv2___RNAseq.g15095.t1",3388.78713651443,0.427596787172634,0.134826449193243,3.17146071658219,0.00151674380645076,0.0481589421489934,4102,3483,3523,3457,3449,3402,3481,3210,5379,3350,1598
"Pocillopora_acuta_HIv2___RNAseq.g26224.t1",21.6146375877716,-6.36533078830348,1.48039461647431,-4.29975272637984,1.70988785522682e-05,0.00262208136140042,0,9,19,69,9,56,49,10,0,35,0
"Pocillopora_acuta_HIv2___RNAseq.g13974.t1",468.468205432476,-4.15659469679196,1.21247674899371,-3.42818507673793,0.000607631062477874,0.0292594070147686,26,28,2133,1763,101,602,296,23,49,466,13
"Pocillopora_acuta_HIv2___RNAseq.g30741.t1",157.134980424516,-4.19771046008016,1.19264859392357,-3.51965405524066,0.000432110008239002,0.0239826846932006,9,12,816,522,29,152,160,25,11,103,9
"Pocillopora_acuta_HIv2___RNAseq.g12773.t1",190.579603404753,1.3771929384798,0.347033294436084,3.96847495776359,7.23340568665096e-05,0.00732180708266653,278,154,217,166,126,165,94,141,351,111,199
"Pocillopora_acuta_HIv2___RNAseq.g18561.t1",111.334199092351,2.75115418440979,0.459405970825382,5.9885033262998,2.11780808743905e-09,1.99285741028014e-06,142,39,42,40,39,45,78,39,285,60,222
"Pocillopora_acuta_HIv2___TS.g27426.t1",190.45672611944,1.03060522301948,0.236137637088278,4.36442591586616,1.27457034100043e-05,0.00224858993419052,265,182,183,146,144,184,138,148,295,208,162
"Pocillopora_acuta_HIv2___TS.g2343.t1",24.2478530280381,-7.54831574278198,1.71097002242711,-4.41171712177297,1.02554043588175e-05,0.00188176434409805,0,20,62,22,15,45,97,0,0,34,0
"Pocillopora_acuta_HIv2___RNAseq.g23880.t1",149.951644620428,2.96574005231491,0.909760491827824,3.25991299793242,0.00111446394210124,0.0415773589715558,85,22,29,39,18,663,15,456,228,27,67
"Pocillopora_acuta_HIv2___RNAseq.g19484.t2",529.294932085514,2.74493125021244,0.563371461771643,4.87232924717275,1.1029016660726e-06,0.000380537838183915,1335,374,224,154,113,675,168,231,1274,166,660
"Pocillopora_acuta_HIv2___RNAseq.g10694.t1",37.4080597148993,1.48873310358338,0.316832049784835,4.69880842103693,2.6168377910904e-06,0.000738330881141989,70,30,25,31,24,24,28,29,69,43,31
"Pocillopora_acuta_HIv2___RNAseq.g4855.t1",169.017175858178,1.14996938406557,0.361557819666725,3.18059608038787,0.00146972393330828,0.0470266226697807,240,132,100,75,176,182,156,140,243,178,170
"Pocillopora_acuta_HIv2___RNAseq.g8341.t1",145.398317967457,-0.760078790975801,0.236449073406233,-3.21455601422443,0.00130646422250631,0.0441935005462836,107,202,155,166,176,158,253,139,126,182,38
"Pocillopora_acuta_HIv2___RNAseq.g19869.t1",2120.47941641532,-3.884921561522,1.16251613613555,-3.34182162360026,0.000832305291215782,0.0357476849351642,171,206,11135,6501,320,2546,2496,148,254,1076,118
"Pocillopora_acuta_HIv2___RNAseq.g18508.t2",1751.6625431877,-5.65406070900785,1.58474557733812,-3.5678034315798,0.000359986394060077,0.0213758272703989,27,60,9236,7352,205,1870,539,36,48,1130,31
"Pocillopora_acuta_HIv2___RNAseq.g16462.t1",115.61041026112,-1.87971119526961,0.56803457549471,-3.30914926020576,0.000935799340473039,0.0376905018413869,31,302,48,77,324,80,228,87,56,105,37
"Pocillopora_acuta_HIv2___RNAseq.g18342.t1",981.386768020128,1.3115644602925,0.282328279596653,4.64552988516156,3.39204662415685e-06,0.000876173346575517,1190,841,601,619,776,806,1067,698,2065,603,1067
"Pocillopora_acuta_HIv2___TS.g15380.t1",68.4731936583308,1.52318401732562,0.326456360837767,4.66581203508106,3.07400613718734e-06,0.000815872757077595,121,64,54,39,49,62,37,57,127,37,72
"Pocillopora_acuta_HIv2___RNAseq.g26989.t1",2054.90539034989,0.438452912026894,0.119051882681528,3.68287256069512,0.000230620466070468,0.0158089565847378,2459,2282,1898,1939,2265,1929,1948,2146,2597,2184,1261
"Pocillopora_acuta_HIv2___RNAseq.g1906.t1",60.0232098572749,2.62689765431153,0.708098928845043,3.70978905249324,0.000207432009287024,0.0145568049364745,66,37,29,19,13,24,32,34,47,37,160
"Pocillopora_acuta_HIv2___RNAseq.g23641.t1",399.103471408717,1.54479693467044,0.318505057155841,4.85014884367939,1.23368862301344e-06,0.000411932610864906,588,235,197,226,426,360,309,315,737,306,456
"Pocillopora_acuta_HIv2___RNAseq.g10258.t1",619.928635941385,-3.03343189269589,0.916473593615342,-3.30989557563735,0.000933307833089163,0.0376905018413869,70,2271,180,60,304,1154,1349,1380,125,477,67
"Pocillopora_acuta_HIv2___RNAseq.g11664.t1",231.73237729738,-7.40163855973365,1.74236922188772,-4.24803105263449,2.15657508146938e-05,0.00305654164472004,0,13,1620,476,16,122,257,7,4,244,2
"Pocillopora_acuta_HIv2___RNAseq.g13920.t1",104.866316857283,-4.62814577262201,1.45070087450989,-3.19028261024905,0.00142133727981262,0.0459758193229389,7,0,465,380,50,162,98,5,4,60,3
"Pocillopora_acuta_HIv2___RNAseq.g5193.t1",232.746488226556,0.787975042010951,0.182376303346237,4.32059992199205,1.55605573893275e-05,0.00249716789979736,350,193,206,222,264,192,194,227,318,239,160
"Pocillopora_acuta_HIv2___RNAseq.g24970.t3a",371.575363656534,-0.911483507140369,0.25487914321239,-3.57614003112383,0.000348704915027361,0.0210463240550916,312,460,575,334,642,371,498,403,327,396,71
"Pocillopora_acuta_HIv2___RNAseq.g30997.t1",313.866474699739,-3.38475194971773,1.00981845624334,-3.35184203535896,0.000802758086453625,0.0352023075714687,20,97,1663,496,105,173,536,46,34,482,49
"Pocillopora_acuta_HIv2___TS.g24016.t1",53.5600045607748,2.43949378574361,0.68482908306773,3.56219361306293,0.000367768993627456,0.021488832032062,39,26,20,9,24,33,40,31,88,32,127
"Pocillopora_acuta_HIv2___RNAseq.g25645.t1",54.790302495998,0.928337528622123,0.266130408941478,3.48828054755015,0.000486137703843871,0.0255005988043862,89,44,47,57,40,63,53,48,75,54,35
"Pocillopora_acuta_HIv2___TS.g25007.t2",3010.82952547684,1.62839015237322,0.501996924721744,3.24382495625014,0.00117936198715021,0.0426093400662892,3927,2297,864,1194,3192,2083,2358,2264,3805,2981,4712
"Pocillopora_acuta_HIv2___RNAseq.g10268.t1",110.115534615836,1.15598142623595,0.354592326279309,3.26002944949631,0.0011140064621012,0.0415773589715558,130,141,84,73,77,92,72,103,185,81,119
"Pocillopora_acuta_HIv2___TS.g5749.t1",371.234969343682,0.575736423208481,0.180129032115821,3.19624447234186,0.00139229088453612,0.0456063384361815,481,329,395,337,403,326,385,277,500,399,262
"Pocillopora_acuta_HIv2___RNAseq.g8055.t1",1901.8407277663,0.883641100876646,0.271498039471228,3.25468685739917,0.00113517456001012,0.0416673470590948,2397,1685,1622,1911,1870,1497,1314,2686,2360,1642,1570
"Pocillopora_acuta_HIv2___RNAseq.g26374.t1",1076.83010709797,0.459077106244171,0.141928625576825,3.23456317834681,0.00121828963653046,0.0431298362999168,1358,965,1187,1188,1055,961,1140,1081,1544,1089,559
"Pocillopora_acuta_HIv2___RNAseq.g28766.t1",87.9904749147292,2.20760881720627,0.559060928818031,3.94878036258696,7.8550381130233e-05,0.00771122052452645,117,40,32,44,73,46,50,56,87,71,184
"Pocillopora_acuta_HIv2___RNAseq.g5377.t1",941.733726243991,-2.98111333153305,0.6420188301738,-4.64334251804739,3.42817317518196e-06,0.000876173346575517,74,766,1723,2940,436,2653,925,714,134,579,61
"Pocillopora_acuta_HIv2___RNAseq.g7663.t1",963.188965996163,-0.755516187813774,0.227194554562545,-3.32541503588629,0.000882870041873906,0.0369874234654402,973,1369,1652,978,1130,804,1605,906,742,779,289
"Pocillopora_acuta_HIv2___RNAseq.g20836.t1",3951.5687349336,0.317282097432761,0.0825857230606151,3.84185166242217,0.000122109628831491,0.0101931997422158,4632,4334,4136,3962,4445,3829,4233,3720,5146,3644,2254
"Pocillopora_acuta_HIv2___TS.g20032.t1a",437.148910606131,-0.700475624175464,0.191497368638578,-3.65788641982597,0.000254303687074486,0.0167662258911338,387,478,639,467,630,432,616,533,324,443,131
"Pocillopora_acuta_HIv2___RNAseq.g10587.t1",683.710730284015,2.30204045434329,0.61276371016902,3.75681590822067,0.000172088993764951,0.0131060256965102,1142,749,301,199,167,834,231,357,1413,245,1061
"Pocillopora_acuta_HIv2___RNAseq.g5017.t1",177.568856275948,-1.87015212910718,0.446303273118506,-4.19031685795098,2.78565178450303e-05,0.00374471189888192,84,159,144,261,322,279,363,145,40,280,27
"Pocillopora_acuta_HIv2___RNAseq.g8385.t1",669.773099887646,-0.677067637612133,0.173139108592171,-3.91054131627167,9.20895056276023e-05,0.00839840064098071,599,1121,837,672,923,738,823,680,561,656,196
"Pocillopora_acuta_HIv2___TS.g30183.t1",10214.9028717167,-1.52861278880669,0.307646368753427,-4.96873340322713,6.73916481842476e-07,0.000253662163765508,4209,9151,13578,17780,17309,13447,9194,18720,4541,10795,1397
"Pocillopora_acuta_HIv2___RNAseq.g16532.t1",36.1668798325499,1.48679021248512,0.464097980580026,3.20361276001878,0.00135714882834132,0.0449531120709151,76,19,28,21,19,40,40,24,43,28,39
"Pocillopora_acuta_HIv2___RNAseq.g5488.t1",1271.34568374007,-1.57220957648203,0.49590215927071,-3.17040276411414,0.00152227772245899,0.0481868400769815,712,1456,669,888,4068,710,3587,1065,842,928,313
"Pocillopora_acuta_HIv2___TS.g13708.t1",1733.90172161188,1.11759741224215,0.339228827571285,3.29452370025158,0.000985886305148884,0.0390992687532417,2075,1709,1687,1434,1206,2482,860,1481,3501,1361,1219
"Pocillopora_acuta_HIv2___RNAseq.g13870.t1",269.467443071165,-1.38292234911868,0.33564943585293,-4.12013905402371,3.7864381013343e-05,0.00478027405784564,183,333,552,343,414,233,419,180,179,321,42
"Pocillopora_acuta_HIv2___RNAseq.g17006.t1",164.947108963423,1.76659638201421,0.542274366748741,3.25775380570912,0.00112297786154474,0.0415971140142091,117,161,83,93,56,261,86,125,348,163,201
"Pocillopora_acuta_HIv2___RNAseq.g24124.t1",118.357830838281,-5.59109539000873,1.67194483769569,-3.34406689978749,0.000825598259860079,0.0356084392003836,0,7,688,436,11,136,24,8,11,71,0
"Pocillopora_acuta_HIv2___RNAseq.g22413.t1",116.220452033306,3.53291235681885,0.731918247041772,4.8269220928676,1.38659332152609e-06,0.000455638967337034,314,57,8,9,48,64,16,89,297,45,183
