Date,Sample.ID,Chamber.ID,Type,Treatment,Temperature,pH,Run,Volume,Org.Number,Notes
20220713,Mcap52,D1,NA,High,30.5,7.65,3,0.00008,NA,
20220713,Mcap53,A2,Sample,High,30.5,7.65,3,0.00008,6,
20220713,Mcap54,B2,Sample,High,30.5,7.65,3,0.00008,6,
20220713,Mcap55,C2,Sample,High,30.5,7.65,3,0.00008,6,
20220713,Mcap56,D2,NA,High,30.5,7.65,3,0.00008,NA,
20220713,Mcap57,A3,Blank,High,30.5,7.65,3,0.00008,NA,
20220713,Mcap58,B3,Sample,High,30.5,7.65,3,0.00008,6,
20220713,Mcap59,C3,Blank,High,30.5,7.65,3,0.00008,NA,
20220713,Mcap60,D3,NA,High,30.5,7.65,3,0.00008,NA,
20220713,Mcap61,A4,Sample,High,30.5,7.65,3,0.00008,6,
20220713,Mcap62,B4,Sample,High,30.5,7.65,3,0.00008,6,
20220713,Mcap63,C4,Sample,High,30.5,7.65,3,0.00008,6,
20220713,Mcap64,D4,NA,High,30.5,7.65,3,0.00008,NA,
20220713,Mcap65,A5,Blank,High,30.5,7.65,3,0.00008,NA,
20220713,Mcap66,B5,Blank,High,30.5,7.65,3,0.00008,NA,
20220713,Mcap67,C5,Sample,High,30.5,7.65,3,0.00008,6,
20220713,Mcap68,D5,NA,High,30.5,7.65,3,0.00008,NA,
20220713,Mcap69,A6,NA,High,30.5,7.65,3,0.00008,NA,
20220713,Mcap70,B6,NA,High,30.5,7.65,3,0.00008,NA,
20220713,Mcap71,C6,Sample,High,30.5,7.65,3,0.00008,6,
20220713,Mcap72,D6,NA,High,30.5,7.65,3,0.00008,NA,
